period,provider_code,provider_name,specialty_code,specialty_name,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,pct_within_18w,pct_over_52w
Feb-2025,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,C_140,Oral Surgery Service,6258.0,3590.0,2657.0,11.0,57.37,0.18
Feb-2025,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,X05,Other - Surgical Services,5587.0,3617.0,1942.0,28.0,64.74,0.5
Feb-2025,ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,C_999,Total,863.0,859.0,4.0,0.0,99.54,0.0
Feb-2025,NT457,WOODLANDS HOSPITAL,C_130,Ophthalmology Service,360.0,299.0,60.0,1.0,83.06,0.28
Feb-2025,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,2516.0,1996.0,520.0,0.0,79.33,0.0
Feb-2025,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,4809.0,3880.0,929.0,0.0,80.68,0.0
Feb-2025,NVC18,SPRINGFIELD HOSPITAL,C_110,Trauma and Orthopaedic Service,1693.0,1245.0,376.0,72.0,73.54,4.25
Feb-2025,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,C_320,Cardiology Service,10388.0,6717.0,3630.0,41.0,64.66,0.39
Feb-2025,NT434,SAXON CLINIC,C_999,Total,677.0,428.0,227.0,22.0,63.22,3.25
Feb-2025,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,7904.0,3897.0,3696.0,311.0,49.3,3.93
Feb-2025,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,C_502,Gynaecology Service,9058.0,4589.0,4269.0,200.0,50.66,2.21
Feb-2025,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,3058.0,1422.0,1509.0,127.0,46.5,4.15
Feb-2025,M2Y6D,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,C_999,Total,80.0,80.0,0.0,0.0,100.0,0.0
Feb-2025,NPG11,SPAMEDICA BIRMINGHAM,C_999,Total,301.0,290.0,11.0,0.0,96.35,0.0
Feb-2025,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,X06,Other - Other Services,3134.0,1577.0,1342.0,215.0,50.32,6.86
Feb-2025,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,C_301,Gastroenterology Service,2619.0,1670.0,946.0,3.0,63.76,0.11
Feb-2025,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,C_430,Elderly Medicine Service,55.0,54.0,1.0,0.0,98.18,0.0
Feb-2025,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgical Service,1074.0,788.0,271.0,15.0,73.37,1.4
Feb-2025,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,C_502,Gynaecology Service,3386.0,2668.0,714.0,4.0,78.8,0.12
Feb-2025,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_101,Urology Service,2129.0,1313.0,791.0,25.0,61.67,1.17
Feb-2025,ACG36,NEWMEDICA - EXETER - GLEN HOUSE,C_999,Total,229.0,215.0,14.0,0.0,93.89,0.0
Feb-2025,NVC08,MOUNT STUART HOSPITAL,C_110,Trauma and Orthopaedic Service,994.0,544.0,437.0,13.0,54.73,1.31
Feb-2025,NVC08,MOUNT STUART HOSPITAL,C_999,Total,2088.0,1316.0,741.0,31.0,63.03,1.48
Feb-2025,NVC0Y,EXETER MEDICAL,C_999,Total,266.0,237.0,29.0,0.0,89.1,0.0
Feb-2025,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,C_301,Gastroenterology Service,1627.0,1338.0,287.0,2.0,82.24,0.12
Feb-2025,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,10299.0,4875.0,5005.0,419.0,47.33,4.07
Feb-2025,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,X06,Other - Other Services,2384.0,1262.0,1073.0,49.0,52.94,2.06
Feb-2025,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,C_330,Dermatology Service,3424.0,2395.0,1010.0,19.0,69.95,0.55
Feb-2025,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,C_301,Gastroenterology Service,1919.0,1228.0,653.0,38.0,63.99,1.98
Feb-2025,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,X04,Other - Paediatric Services,3293.0,1742.0,1509.0,42.0,52.9,1.28
Feb-2025,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_999,Total,109167.0,57196.0,48985.0,2986.0,52.39,2.74
Feb-2025,NQX01,PROVIDE WELLBEING @ TOLLGATE CLINIC,C_999,Total,88.0,88.0,0.0,0.0,100.0,0.0
Feb-2025,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,364.0,302.0,62.0,0.0,82.97,0.0
Feb-2025,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,2113.0,1203.0,877.0,33.0,56.93,1.56
Feb-2025,N6Z0R,NEWMEDICA - LINCOLN,C_130,Ophthalmology Service,33.0,33.0,0.0,0.0,100.0,0.0
Feb-2025,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,C_999,Total,19.0,19.0,0.0,0.0,100.0,0.0
Feb-2025,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,C_130,Ophthalmology Service,6213.0,3511.0,2679.0,23.0,56.51,0.37
Feb-2025,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,C_999,Total,71244.0,38270.0,31513.0,1461.0,53.72,2.05
Feb-2025,NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",C_110,Trauma and Orthopaedic Service,483.0,418.0,63.0,2.0,86.54,0.41
Feb-2025,NT322,SPIRE LEICESTER HOSPITAL,C_100,General Surgery Service,15.0,13.0,2.0,0.0,86.67,0.0
Feb-2025,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,C_110,Trauma and Orthopaedic Service,10382.0,3726.0,6141.0,515.0,35.89,4.96
Feb-2025,NT406,BLACKHEATH HOSPITAL,C_999,Total,1467.0,1094.0,361.0,12.0,74.57,0.82
