specialty_code,specialty_name,total_feb25,total_apr26,total_change,pct_18w_feb25,pct_18w_apr26,pct_18w_change,pct_52w_feb25,pct_52w_apr26,pct_52w_change,short_pp_gain_larger
C_100,General Surgery Service,407640.0,381808.0,-25832.0,58.18,62.67,4.490000000000002,3.11,1.68,-1.43,True
C_101,Urology Service,412747.0,377509.0,-35238.0,59.42,64.87,5.450000000000003,2.97,1.36,-1.61,True
C_110,Trauma and Orthopaedic Service,841700.0,819951.0,-21749.0,56.2,59.03,2.8299999999999983,3.17,2.05,-1.12,True
C_120,Ear Nose and Throat Service,634084.0,588278.0,-45806.0,50.16,58.28,8.120000000000005,4.16,2.17,-1.9900000000000002,True
C_130,Ophthalmology Service,582395.0,610708.0,28313.0,67.42,73.13,5.709999999999994,1.58,0.74,-0.8400000000000001,True
C_140,Oral Surgery Service,327310.0,320804.0,-6506.0,50.73,54.94,4.210000000000001,4.3,2.32,-1.98,True
C_150,Neurosurgical Service,59364.0,56456.0,-2908.0,59.79,62.18,2.3900000000000006,2.6,1.46,-1.1400000000000001,True
C_160,Plastic Surgery Service,102844.0,101458.0,-1386.0,53.31,56.68,3.3699999999999974,3.69,2.55,-1.1400000000000001,True
C_170,Cardiothoracic Surgery Service,10102.0,8849.0,-1253.0,67.42,72.18,4.760000000000005,1.68,1.54,-0.1399999999999999,True
C_300,General Internal Medicine Service,42178.0,35221.0,-6957.0,69.37,71.54,2.1700000000000017,0.73,1.41,0.6799999999999999,True
C_301,Gastroenterology Service,394200.0,371537.0,-22663.0,62.47,69.0,6.530000000000001,1.63,0.85,-0.7799999999999999,True
C_320,Cardiology Service,411581.0,377359.0,-34222.0,60.37,68.4,8.030000000000008,1.99,0.77,-1.22,True
C_330,Dermatology Service,389749.0,379705.0,-10044.0,57.97,65.74,7.769999999999996,2.21,1.11,-1.0999999999999999,True
C_340,Respiratory Medicine Service,216816.0,187683.0,-29133.0,63.55,74.75,11.200000000000003,1.35,0.31,-1.04,True
C_400,Neurology Service,229775.0,206659.0,-23116.0,53.68,60.15,6.469999999999999,3.14,0.94,-2.2,True
C_410,Rheumatology Service,121539.0,115224.0,-6315.0,64.87,69.6,4.72999999999999,1.31,0.81,-0.5,True
C_430,Elderly Medicine Service,23950.0,26474.0,2524.0,81.47,82.36,0.8900000000000006,0.21,0.6,0.39,True
C_502,Gynaecology Service,581573.0,563494.0,-18079.0,55.5,60.17,4.670000000000002,3.12,1.89,-1.2300000000000002,True
C_999,Total,7401153.0,7093502.0,-307651.0,59.18,64.95,5.770000000000003,2.61,1.37,-1.2399999999999998,True
X02,Other - Medical Services,629526.0,618974.0,-10552.0,64.2,70.44,6.239999999999995,1.59,0.68,-0.91,True
X03,Other - Mental Health Services,2974.0,3040.0,66.0,75.92,79.24,3.319999999999993,0.27,0.1,-0.17,True
X04,Other - Paediatric Services,332249.0,319213.0,-13036.0,60.55,67.61,7.060000000000002,2.6,1.29,-1.31,True
X05,Other - Surgical Services,483017.0,464243.0,-18774.0,60.64,65.52,4.8799999999999955,2.44,1.29,-1.15,True
X06,Other - Other Services,163840.0,158855.0,-4985.0,71.92,76.15,4.230000000000004,1.76,0.88,-0.88,True
