period,provider_code,provider_name,specialty_code,specialty_name,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,pct_within_18w,pct_over_52w
Apr-2026,NTP15,PRACTICE PLUS GROUP HOSPITAL - ILFORD,C_301,Gastroenterology Service,139.0,105.0,6.0,28.0,75.54,20.14
Apr-2026,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,C_301,Gastroenterology Service,3966.0,1479.0,2153.0,334.0,37.29,8.42
Apr-2026,RJN,EAST CHESHIRE NHS TRUST,C_301,Gastroenterology Service,1843.0,895.0,865.0,83.0,48.56,4.5
Apr-2026,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,C_301,Gastroenterology Service,10461.0,5351.0,4666.0,444.0,51.15,4.24
Apr-2026,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,2340.0,1096.0,1148.0,96.0,46.84,4.1
Apr-2026,RA2,ROYAL SURREY NHS FOUNDATION TRUST,C_301,Gastroenterology Service,1263.0,675.0,540.0,48.0,53.44,3.8
Apr-2026,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,C_301,Gastroenterology Service,3241.0,1628.0,1511.0,102.0,50.23,3.15
Apr-2026,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,3852.0,2317.0,1419.0,116.0,60.15,3.01
Apr-2026,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,1603.0,651.0,905.0,47.0,40.61,2.93
Apr-2026,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,C_301,Gastroenterology Service,3892.0,2537.0,1241.0,114.0,65.18,2.93
Apr-2026,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,C_301,Gastroenterology Service,5313.0,3114.0,2048.0,151.0,58.61,2.84
Apr-2026,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,2016.0,908.0,1052.0,56.0,45.04,2.78
Apr-2026,NVM,EPSOMEDICAL GROUP,C_301,Gastroenterology Service,471.0,264.0,194.0,13.0,56.05,2.76
