period,specialty_code,specialty_name,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,pct_within_18w,pct_over_52w
Apr-2026,C_100,General Surgery Service,381808.0,239298.0,136112.0,6398.0,62.67,1.68
Apr-2026,C_101,Urology Service,377509.0,244898.0,127473.0,5138.0,64.87,1.36
Apr-2026,C_110,Trauma and Orthopaedic Service,819951.0,483984.0,319127.0,16840.0,59.03,2.05
Apr-2026,C_120,Ear Nose and Throat Service,588278.0,342859.0,232657.0,12762.0,58.28,2.17
Apr-2026,C_130,Ophthalmology Service,610708.0,446604.0,159572.0,4532.0,73.13,0.74
Apr-2026,C_140,Oral Surgery Service,320804.0,176242.0,137130.0,7432.0,54.94,2.32
Apr-2026,C_150,Neurosurgical Service,56456.0,35106.0,20526.0,824.0,62.18,1.46
Apr-2026,C_160,Plastic Surgery Service,101458.0,57502.0,41373.0,2583.0,56.68,2.55
Apr-2026,C_170,Cardiothoracic Surgery Service,8849.0,6387.0,2326.0,136.0,72.18,1.54
Apr-2026,C_300,General Internal Medicine Service,35221.0,25196.0,9529.0,496.0,71.54,1.41
Apr-2026,C_301,Gastroenterology Service,371537.0,256351.0,112018.0,3168.0,69.0,0.85
Apr-2026,C_320,Cardiology Service,377359.0,258123.0,116338.0,2898.0,68.4,0.77
Apr-2026,C_330,Dermatology Service,379705.0,249616.0,125881.0,4208.0,65.74,1.11
Apr-2026,C_340,Respiratory Medicine Service,187683.0,140291.0,46804.0,588.0,74.75,0.31
Apr-2026,C_400,Neurology Service,206659.0,124314.0,80396.0,1949.0,60.15,0.94
Apr-2026,C_410,Rheumatology Service,115224.0,80194.0,34094.0,936.0,69.6,0.81
Apr-2026,C_430,Elderly Medicine Service,26474.0,21804.0,4511.0,159.0,82.36,0.6
Apr-2026,C_502,Gynaecology Service,563494.0,339060.0,213783.0,10651.0,60.17,1.89
Apr-2026,C_999,Total,7093502.0,4607182.0,2388932.0,97388.0,64.95,1.37
Apr-2026,X02,Other - Medical Services,618974.0,435986.0,178787.0,4201.0,70.44,0.68
Apr-2026,X03,Other - Mental Health Services,3040.0,2409.0,628.0,3.0,79.24,0.1
Apr-2026,X04,Other - Paediatric Services,319213.0,215815.0,99291.0,4107.0,67.61,1.29
Apr-2026,X05,Other - Surgical Services,464243.0,304172.0,154083.0,5988.0,65.52,1.29
Apr-2026,X06,Other - Other Services,158855.0,120971.0,36493.0,1391.0,76.15,0.88
Feb-2025,C_100,General Surgery Service,407640.0,237157.0,157824.0,12659.0,58.18,3.11
Feb-2025,C_101,Urology Service,412747.0,245271.0,155233.0,12243.0,59.42,2.97
Feb-2025,C_110,Trauma and Orthopaedic Service,841700.0,473041.0,342011.0,26648.0,56.2,3.17
Feb-2025,C_120,Ear Nose and Throat Service,634084.0,318084.0,289610.0,26390.0,50.16,4.16
Feb-2025,C_130,Ophthalmology Service,582395.0,392636.0,180533.0,9226.0,67.42,1.58
Feb-2025,C_140,Oral Surgery Service,327310.0,166045.0,147206.0,14059.0,50.73,4.3
Feb-2025,C_150,Neurosurgical Service,59364.0,35493.0,22330.0,1541.0,59.79,2.6
Feb-2025,C_160,Plastic Surgery Service,102844.0,54823.0,44223.0,3798.0,53.31,3.69
Feb-2025,C_170,Cardiothoracic Surgery Service,10102.0,6811.0,3121.0,170.0,67.42,1.68
Feb-2025,C_300,General Internal Medicine Service,42178.0,29260.0,12608.0,310.0,69.37,0.73
Feb-2025,C_301,Gastroenterology Service,394200.0,246268.0,141490.0,6442.0,62.47,1.63
Feb-2025,C_320,Cardiology Service,411581.0,248491.0,154918.0,8172.0,60.37,1.99
Feb-2025,C_330,Dermatology Service,389749.0,225935.0,155200.0,8614.0,57.97,2.21
Feb-2025,C_340,Respiratory Medicine Service,216816.0,137794.0,76088.0,2934.0,63.55,1.35
Feb-2025,C_400,Neurology Service,229775.0,123341.0,99211.0,7223.0,53.68,3.14
Feb-2025,C_410,Rheumatology Service,121539.0,78844.0,41106.0,1589.0,64.87,1.31
Feb-2025,C_430,Elderly Medicine Service,23950.0,19512.0,4388.0,50.0,81.47,0.21
Feb-2025,C_502,Gynaecology Service,581573.0,322797.0,240608.0,18168.0,55.5,3.12
Feb-2025,C_999,Total,7401153.0,4379951.0,2827677.0,193525.0,59.18,2.61
Feb-2025,X02,Other - Medical Services,629526.0,404183.0,215350.0,9993.0,64.2,1.59
Feb-2025,X03,Other - Mental Health Services,2974.0,2258.0,708.0,8.0,75.92,0.27
Feb-2025,X04,Other - Paediatric Services,332249.0,201190.0,122431.0,8628.0,60.55,2.6
Feb-2025,X05,Other - Surgical Services,483017.0,292890.0,178354.0,11773.0,60.64,2.44
Feb-2025,X06,Other - Other Services,163840.0,117827.0,43126.0,2887.0,71.92,1.76
