specialty,min_size,n_providers,mean,std,min,p10,median,p90,max,iqr
Gastroenterology,0,217,74.9,20.0,0.0,56.3,76.9,98.6,100.0,25.4
Gastroenterology,50,169,75.7,14.5,37.3,58.5,75.7,95.8,100.0,22.8
Gastroenterology,100,160,75.0,14.3,37.3,58.2,75.0,95.1,100.0,22.5
Gastroenterology,250,131,72.6,13.8,37.3,57.5,71.1,91.1,100.0,21.4
Gastroenterology,500,119,71.5,13.0,37.3,57.3,70.2,89.9,97.7,18.8
Gastroenterology,1000,108,70.4,12.7,37.3,56.8,69.1,87.0,97.7,17.6
Ophthalmology,0,343,81.8,14.6,0.0,62.9,85.0,97.5,100.0,20.9
Ophthalmology,50,293,81.9,12.5,52.3,63.3,84.7,96.2,100.0,20.4
Ophthalmology,100,281,81.9,12.5,52.3,63.4,84.6,96.2,100.0,20.4
Ophthalmology,250,235,81.1,12.6,52.3,63.0,83.5,96.1,100.0,20.6
Ophthalmology,500,171,78.4,12.5,52.4,62.2,78.0,94.2,99.9,22.1
Ophthalmology,1000,117,73.1,10.5,52.4,60.4,72.4,87.9,96.4,17.1
ENT,0,168,63.6,18.7,0.0,46.5,61.5,89.9,100.0,17.8
ENT,50,153,63.4,14.6,0.0,48.6,60.9,83.2,100.0,15.7
ENT,100,146,62.7,13.7,0.0,49.2,60.7,82.0,99.6,14.8
ENT,250,133,61.7,13.3,0.0,48.6,60.0,78.2,99.6,13.1
ENT,500,123,60.6,12.4,0.0,48.6,59.6,74.6,99.6,12.4
ENT,1000,115,60.0,10.2,36.6,48.7,59.4,72.2,99.6,11.5
Orthopaedics,0,311,64.8,15.1,0.0,48.9,63.7,83.6,100.0,21.2
Orthopaedics,50,299,64.7,14.2,0.0,49.4,63.4,82.3,100.0,20.9
Orthopaedics,100,291,64.2,13.9,0.0,49.1,63.4,81.8,100.0,20.6
Orthopaedics,250,267,63.5,13.6,0.0,48.5,62.8,80.3,99.8,19.7
Orthopaedics,500,222,62.6,13.1,0.0,48.6,61.5,78.7,99.8,19.2
Orthopaedics,1000,171,61.0,11.4,33.0,48.3,59.4,76.4,99.8,16.4
