specialty,share_of_list_pct,median_weeks,breaches,big_list,quadrant
Trauma & orthopaedics,14.2,27.8,True,True,top_right · big and slow
Dermatology,11.3,15.1,False,True,bottom_right · big and fast
Ear nose & throat,9.8,24.9,True,True,top_right · big and slow
Ophthalmology,9.5,18.6,True,True,top_right · big and slow
General surgery,8.4,21.2,True,True,top_right · big and slow
Urology,7.1,24.2,True,True,top_right · big and slow
Cardiology,6.8,16.4,False,False,bottom_left · small and fast
Gynaecology,6.2,20.8,True,False,top_left · small and slow
Plastics,4.1,19.2,True,False,top_left · small and slow
Neurosurgery,2.3,25.6,True,False,top_left · small and slow
