period,specialty_code,completed_total,completed_0_18w,completed_18_52w,completed_52w_plus
Feb-2025,C_301,63658.0,43453.0,16836.0,3369.0
Feb-2025,X03,903.0,786.0,115.0,2.0
Feb-2025,C_120,95347.0,46874.0,34796.0,13677.0
Feb-2025,C_101,71024.0,46425.0,18813.0,5786.0
Feb-2025,C_999,1457644.0,939976.0,414499.0,103169.0
Feb-2025,C_430,8285.0,7035.0,1199.0,51.0
Feb-2025,X05,122172.0,92098.0,23715.0,6359.0
Feb-2025,C_130,163103.0,120545.0,37046.0,5512.0
Feb-2025,C_160,22468.0,14423.0,5698.0,2347.0
Feb-2025,C_140,50478.0,23953.0,19902.0,6623.0
Feb-2025,C_330,99029.0,69223.0,24773.0,5033.0
Feb-2025,C_100,76981.0,49408.0,20699.0,6874.0
Feb-2025,X06,51276.0,40647.0,8889.0,1740.0
Feb-2025,X02,137872.0,95731.0,35997.0,6144.0
Feb-2025,X04,65600.0,40039.0,21340.0,4221.0
Feb-2025,C_170,2538.0,1882.0,572.0,84.0
Feb-2025,C_300,7374.0,5562.0,1669.0,143.0
Feb-2025,C_502,102677.0,62173.0,31160.0,9344.0
Feb-2025,C_400,31877.0,14883.0,13338.0,3656.0
Feb-2025,C_410,26884.0,17913.0,7930.0,1041.0
Feb-2025,C_110,142303.0,77326.0,51141.0,13836.0
Feb-2025,C_320,64875.0,38010.0,22077.0,4788.0
Feb-2025,C_340,40360.0,25394.0,13290.0,1676.0
Feb-2025,C_150,10560.0,6193.0,3504.0,863.0
Apr-2026,X04,64882.0,41578.0,20651.0,2653.0
Apr-2026,C_170,2333.0,1685.0,585.0,63.0
Apr-2026,C_120,93787.0,50426.0,35446.0,7915.0
Apr-2026,C_101,69649.0,45757.0,20568.0,3324.0
Apr-2026,C_410,24403.0,16633.0,7198.0,572.0
Apr-2026,C_502,97077.0,59645.0,31385.0,6047.0
Apr-2026,C_400,31197.0,15581.0,13950.0,1666.0
Apr-2026,C_301,65847.0,44768.0,18810.0,2269.0
Apr-2026,X03,982.0,786.0,194.0,2.0
Apr-2026,C_100,72727.0,47009.0,21697.0,4021.0
Apr-2026,X06,53526.0,42716.0,9837.0,973.0
Apr-2026,C_130,154346.0,110902.0,40163.0,3281.0
Apr-2026,C_160,22340.0,14688.0,6274.0,1378.0
Apr-2026,C_140,49735.0,24430.0,20934.0,4371.0
Apr-2026,C_150,9695.0,5525.0,3649.0,521.0
Apr-2026,X05,124508.0,95205.0,25287.0,4016.0
Apr-2026,C_330,98715.0,73053.0,22635.0,3027.0
Apr-2026,C_999,1447071.0,950595.0,433673.0,62803.0
Apr-2026,C_430,8486.0,7208.0,1239.0,39.0
Apr-2026,X02,144213.0,102444.0,38671.0,3098.0
Apr-2026,C_300,8129.0,6036.0,1890.0,203.0
Apr-2026,C_110,146219.0,76663.0,59059.0,10497.0
Apr-2026,C_320,63799.0,39003.0,22648.0,2148.0
Apr-2026,C_340,40476.0,28854.0,10903.0,719.0
