period,specialty_code,completed_total,completed_0_18w,completed_18_52w,completed_52w_plus,specialty,pct_completed_from_tail
Feb-2025,C_301,63658.0,43453.0,16836.0,3369.0,Gastroenterology,5.29
Feb-2025,C_120,95347.0,46874.0,34796.0,13677.0,ENT,14.34
Feb-2025,C_130,163103.0,120545.0,37046.0,5512.0,Ophthalmology,3.38
Feb-2025,C_100,76981.0,49408.0,20699.0,6874.0,General Surgery,8.93
Feb-2025,C_400,31877.0,14883.0,13338.0,3656.0,Neurology,11.47
Feb-2025,C_110,142303.0,77326.0,51141.0,13836.0,Trauma & Orthopaedics,9.72
Feb-2025,C_320,64875.0,38010.0,22077.0,4788.0,Cardiology,7.38
Apr-2026,C_120,93787.0,50426.0,35446.0,7915.0,ENT,8.44
Apr-2026,C_400,31197.0,15581.0,13950.0,1666.0,Neurology,5.34
Apr-2026,C_301,65847.0,44768.0,18810.0,2269.0,Gastroenterology,3.45
Apr-2026,C_100,72727.0,47009.0,21697.0,4021.0,General Surgery,5.53
Apr-2026,C_130,154346.0,110902.0,40163.0,3281.0,Ophthalmology,2.13
Apr-2026,C_110,146219.0,76663.0,59059.0,10497.0,Trauma & Orthopaedics,7.18
Apr-2026,C_320,63799.0,39003.0,22648.0,2148.0,Cardiology,3.37
