period_raw,specialty_code,specialty_name,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,date,pct_within_18w,pct_over_52w
RTT-FEBRUARY-2019,C_120,"Ear, Nose & Throat (ENT)",293344.0,248840.0,44355.0,149.0,2019-02-01,84.83,0.05
RTT-FEBRUARY-2019,C_320,Cardiology,201406.0,180899.0,20420.0,87.0,2019-02-01,89.82,0.04
RTT-FEBRUARY-2019,C_130,Ophthalmology,423742.0,364896.0,58705.0,141.0,2019-02-01,86.11,0.03
RTT-FEBRUARY-2019,C_300,General Medicine,42002.0,38481.0,3517.0,4.0,2019-02-01,91.62,0.01
RTT-FEBRUARY-2019,C_999,Total,4144110.0,3604256.0,537892.0,1962.0,2019-02-01,86.97,0.05
RTT-FEBRUARY-2019,C_110,Trauma & Orthopaedics,493564.0,411804.0,81264.0,496.0,2019-02-01,83.43,0.1
RTT-FEBRUARY-2019,C_410,Rheumatology,87475.0,79038.0,8433.0,4.0,2019-02-01,90.35,0.0
RTT-FEBRUARY-2019,X01,Other,864153.0,774122.0,89768.0,263.0,2019-02-01,89.58,0.03
RTT-FEBRUARY-2019,C_340,Thoracic Medicine,97285.0,88315.0,8962.0,8.0,2019-02-01,90.78,0.01
RTT-FEBRUARY-2019,C_301,Gastroenterology,219774.0,195090.0,24654.0,30.0,2019-02-01,88.77,0.01
RTT-FEBRUARY-2019,C_330,Dermatology,196691.0,175652.0,21017.0,22.0,2019-02-01,89.3,0.01
RTT-FEBRUARY-2019,C_100,General Surgery,317920.0,268842.0,48689.0,389.0,2019-02-01,84.56,0.12
RTT-FEBRUARY-2019,C_400,Neurology,126174.0,108429.0,17723.0,22.0,2019-02-01,85.94,0.02
RTT-FEBRUARY-2019,C_170,Cardiothoracic Surgery,8698.0,7272.0,1422.0,4.0,2019-02-01,83.61,0.05
RTT-FEBRUARY-2019,C_430,Geriatric Medicine,19938.0,19081.0,857.0,0.0,2019-02-01,95.7,0.0
RTT-FEBRUARY-2019,C_140,Oral Surgery,169379.0,141747.0,27554.0,78.0,2019-02-01,83.69,0.05
RTT-FEBRUARY-2019,C_502,Gynaecology,263720.0,231972.0,31684.0,64.0,2019-02-01,87.96,0.02
RTT-FEBRUARY-2019,C_101,Urology,233013.0,199351.0,33570.0,92.0,2019-02-01,85.55,0.04
RTT-FEBRUARY-2019,C_150,Neurosurgery,33140.0,27164.0,5953.0,23.0,2019-02-01,81.97,0.07
RTT-FEBRUARY-2019,C_160,Plastic Surgery,52692.0,43261.0,9345.0,86.0,2019-02-01,82.1,0.16
RTT-January-2024,C_150,Neurosurgical Service,61364.0,33011.0,24393.0,3960.0,2024-01-01,53.8,6.45
RTT-January-2024,X05,Other - Surgical Services,493185.0,282268.0,188720.0,22197.0,2024-01-01,57.23,4.5
RTT-January-2024,C_400,Neurology Service,234198.0,125348.0,101133.0,7717.0,2024-01-01,53.52,3.3
RTT-January-2024,C_170,Cardiothoracic Surgery Service,9611.0,6196.0,3110.0,305.0,2024-01-01,64.47,3.17
RTT-January-2024,C_999,Total,7575914.0,4321271.0,2933249.0,321394.0,2024-01-01,57.04,4.24
RTT-January-2024,C_160,Plastic Surgery Service,107761.0,55450.0,44704.0,7607.0,2024-01-01,51.46,7.06
RTT-January-2024,C_301,Gastroenterology Service,384402.0,227656.0,142204.0,14542.0,2024-01-01,59.22,3.78
RTT-January-2024,C_410,Rheumatology Service,124542.0,79163.0,43332.0,2047.0,2024-01-01,63.56,1.64
RTT-January-2024,X04,Other - Paediatric Services,412394.0,232869.0,161611.0,17914.0,2024-01-01,56.47,4.34
RTT-January-2024,C_100,General Surgery Service,424169.0,233202.0,168216.0,22751.0,2024-01-01,54.98,5.36
RTT-January-2024,C_502,Gynaecology Service,591081.0,309973.0,249628.0,31480.0,2024-01-01,52.44,5.33
RTT-January-2024,C_340,Respiratory Medicine Service,221959.0,135523.0,80004.0,6432.0,2024-01-01,61.06,2.9
RTT-January-2024,X02,Other - Medical Services,632670.0,403748.0,216140.0,12782.0,2024-01-01,63.82,2.02
RTT-January-2024,X03,Other - Mental Health Services,12424.0,8448.0,3092.0,884.0,2024-01-01,68.0,7.12
RTT-January-2024,C_330,Dermatology Service,408571.0,234243.0,160706.0,13622.0,2024-01-01,57.33,3.33
RTT-January-2024,C_110,Trauma and Orthopaedic Service,849406.0,462703.0,339801.0,46902.0,2024-01-01,54.47,5.52
RTT-January-2024,C_300,General Internal Medicine Service,40831.0,26981.0,13200.0,650.0,2024-01-01,66.08,1.59
RTT-January-2024,C_101,Urology Service,413969.0,236604.0,157112.0,20253.0,2024-01-01,57.16,4.89
RTT-January-2024,C_320,Cardiology Service,398450.0,238590.0,149861.0,9999.0,2024-01-01,59.88,2.51
RTT-January-2024,X06,Other - Other Services,179176.0,124900.0,48922.0,5354.0,2024-01-01,69.71,2.99
RTT-January-2024,C_140,Oral Surgery Service,323723.0,160187.0,142966.0,20570.0,2024-01-01,49.48,6.35
RTT-January-2024,C_430,Elderly Medicine Service,25343.0,19610.0,5600.0,133.0,2024-01-01,77.38,0.52
RTT-January-2024,C_120,Ear Nose and Throat Service,621169.0,300003.0,282392.0,38774.0,2024-01-01,48.3,6.24
RTT-January-2024,C_130,Ophthalmology Service,605516.0,384595.0,206402.0,14519.0,2024-01-01,63.52,2.4
RTT-February-2024,X05,Other - Surgical Services,493683.0,284930.0,187572.0,21181.0,2024-02-01,57.72,4.29
RTT-February-2024,C_340,Respiratory Medicine Service,225076.0,139633.0,79004.0,6439.0,2024-02-01,62.04,2.86
RTT-February-2024,C_300,General Internal Medicine Service,36982.0,24454.0,11858.0,670.0,2024-02-01,66.12,1.81
RTT-February-2024,C_410,Rheumatology Service,124452.0,79515.0,42926.0,2011.0,2024-02-01,63.89,1.62
RTT-February-2024,X03,Other - Mental Health Services,12214.0,8278.0,3001.0,935.0,2024-02-01,67.77,7.66
RTT-February-2024,C_330,Dermatology Service,408938.0,237524.0,159789.0,11625.0,2024-02-01,58.08,2.84
RTT-February-2024,C_320,Cardiology Service,399094.0,239037.0,150172.0,9885.0,2024-02-01,59.89,2.48
RTT-February-2024,C_400,Neurology Service,233760.0,125156.0,101105.0,7499.0,2024-02-01,53.54,3.21
RTT-February-2024,C_301,Gastroenterology Service,390450.0,233718.0,142865.0,13867.0,2024-02-01,59.86,3.55
RTT-February-2024,X02,Other - Medical Services,634165.0,406062.0,215220.0,12883.0,2024-02-01,64.03,2.03
RTT-February-2024,C_140,Oral Surgery Service,325201.0,162961.0,142161.0,20079.0,2024-02-01,50.11,6.17
RTT-February-2024,X04,Other - Paediatric Services,367154.0,215901.0,137322.0,13931.0,2024-02-01,58.8,3.79
RTT-February-2024,C_160,Plastic Surgery Service,107403.0,54953.0,45218.0,7232.0,2024-02-01,51.17,6.73
RTT-February-2024,C_170,Cardiothoracic Surgery Service,9454.0,6059.0,3068.0,327.0,2024-02-01,64.09,3.46
RTT-February-2024,C_430,Elderly Medicine Service,25131.0,19308.0,5691.0,132.0,2024-02-01,76.83,0.53
