specialty_code,specialty,floor,provider_code,provider_name,months_in_bottom_decile,months_in_top_decile,mean_pct,panel
C_301,Gastroenterology,500,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,12,5,57.01570062574928,balanced
C_301,Gastroenterology,500,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,22,0,45.72260523593732,balanced
C_301,Gastroenterology,500,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,17,0,51.218192391315135,balanced
C_301,Gastroenterology,500,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,23,0,47.698217089693465,balanced
C_301,Gastroenterology,500,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,4,0,67.58032943012202,balanced
C_301,Gastroenterology,500,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,6,0,59.27391675992445,balanced
C_301,Gastroenterology,500,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,7,0,51.80190668000349,balanced
C_301,Gastroenterology,500,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,4,0,58.6146180228425,balanced
C_301,Gastroenterology,500,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,15,0,50.19441573067519,balanced
C_301,Gastroenterology,500,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1,0,61.49492132631477,balanced
C_301,Gastroenterology,500,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,25,0,44.59313062058097,balanced
C_301,Gastroenterology,500,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,0,8,80.80413253854589,balanced
C_301,Gastroenterology,500,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,0,29,96.51798267077903,balanced
C_301,Gastroenterology,500,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,0,16,86.83489372148205,balanced
C_301,Gastroenterology,500,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,0,22,87.88095925217536,balanced
C_301,Gastroenterology,500,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,0,29,91.00767224193368,balanced
C_301,Gastroenterology,500,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,0,29,95.14766139728427,balanced
C_301,Gastroenterology,500,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0,17,85.05016257930214,balanced
C_301,Gastroenterology,500,RKE,WHITTINGTON HEALTH NHS TRUST,0,11,83.31240244682206,balanced
C_301,Gastroenterology,500,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,0,2,72.13610666874384,balanced
