n,pathways,mean_pct,sd_pct,min_pct,min_provider,min_provider_name,q1_pct,median_pct,q3_pct,iqr_pp,max_pct,max_provider,max_provider_name,range_pp,specialty_code,specialty,period,label,first_release
110,364607,62.7367179967906,15.442686081119954,19.63963963963964,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,52.63388970628636,60.15134774367848,73.60541427399508,20.97152456770872,99.86936642717178,NV1,INHEALTH LIMITED,80.22972678753214,C_301,Gastroenterology,2024-01,January 2024,False
111,369973,63.04486726423088,15.05953844484748,23.535062439961575,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,52.92950748847926,61.4996114996115,74.71253902053263,21.78303153205337,100.0,NV1,INHEALTH LIMITED,76.46493756003842,C_301,Gastroenterology,2024-02,February 2024,False
114,372840,62.68210983295355,14.899493043297355,34.005037783375315,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,52.93899257475417,61.07632224593685,72.56755041458416,19.628557839829995,100.0,NV1,INHEALTH LIMITED,65.99496221662469,C_301,Gastroenterology,2024-03,March 2024,False
114,374257,63.87412678141233,14.892084363512105,33.980582524271846,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,53.956026695943834,60.806414618295804,73.48450291039904,19.52847621445521,100.0,NV1,INHEALTH LIMITED,66.01941747572815,C_301,Gastroenterology,2024-04,April 2024,False
113,371879,64.16415519891444,14.805740181038459,27.25914861837192,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,54.18848167539267,62.07145434861061,73.14990512333966,18.96142344794699,100.0,NV1,INHEALTH LIMITED,72.74085138162808,C_301,Gastroenterology,2024-05,May 2024,False
113,372498,63.70256430102407,14.19348412302007,25.254104769351056,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,54.00658616904501,60.472201066260475,71.9271948608137,17.92060869176869,99.84555984555985,NV1,INHEALTH LIMITED,74.59145507620879,C_301,Gastroenterology,2024-06,June 2024,False
110,368506,63.89481713530832,13.417034920791954,30.607082630691398,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,55.133897655635835,61.157655765361795,71.44767597857607,16.313778322940237,99.81226533166458,NV1,INHEALTH LIMITED,69.20518270097318,C_301,Gastroenterology,2024-07,July 2024,False
113,372413,64.75149955731376,13.549389118278814,37.63077961525481,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,54.045099925189696,62.5,72.04832509610104,18.003225170911342,99.85785358919688,NV1,INHEALTH LIMITED,62.22707397394207,C_301,Gastroenterology,2024-08,August 2024,False
112,370985,64.86496087954718,13.45380177161602,39.42176870748299,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,55.02372052903968,63.09726361917119,71.72941449830486,16.705693969265184,99.70104633781764,NV1,INHEALTH LIMITED,60.279277630334654,C_301,Gastroenterology,2024-09,September 2024,False
111,371602,65.3776316305286,13.424178445436526,40.532652316672745,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,55.33514128833534,62.02134337727558,73.89234115649072,18.557199868155372,99.85925404644617,NV1,INHEALTH LIMITED,59.32660172977342,C_301,Gastroenterology,2024-10,October 2024,False
