period,label,specialty_code,provider_code,provider_name,total_waiting,within_18w,over_52w,n_source_rows
2024-01,January 2024,C_100,A4M8P,BUCKSHAW HOSPITAL,1276.0,906.0,32.0,15
2024-01,January 2024,C_100,AAH,TETBURY HOSPITAL TRUST LTD,107.0,97.0,0.0,3
2024-01,January 2024,C_100,ADP02,KIMS HOSPITAL (NEWNHAM COURT),188.0,163.0,0.0,1
2024-01,January 2024,C_100,AY1,MEDEFER,75.0,75.0,0.0,4
2024-01,January 2024,C_100,B3M1X,CLAREMONT PRIVATE HOSPITAL,217.0,166.0,0.0,9
2024-01,January 2024,C_100,DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),198.0,168.0,0.0,1
2024-01,January 2024,C_100,DTT,PHOENIX PUBLIC HEALTH LTD,172.0,102.0,24.0,17
2024-01,January 2024,C_100,DX1,THE NEW FOSCOTE HOSPITAL LTD,180.0,179.0,0.0,6
2024-01,January 2024,C_100,F9Z4V,CIRCLE READING HOSPITAL,179.0,112.0,2.0,6
2024-01,January 2024,C_100,G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,125.0,104.0,0.0,5
2024-01,January 2024,C_100,G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),409.0,277.0,2.0,5
2024-01,January 2024,C_100,H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,528.0,344.0,1.0,8
2024-01,January 2024,C_100,K8I4X,GLENDON WOOD HOSPITAL,88.0,71.0,3.0,3
2024-01,January 2024,C_100,NAM01,PROBUS SURGICAL CENTRE,184.0,165.0,0.0,2
2024-01,January 2024,C_100,NEY,PIONEER HEALTHCARE LIMITED,322.0,126.0,25.0,3
2024-01,January 2024,C_100,NN4,TYNESIDE SURGICAL SERVICES LTD,63.0,48.0,0.0,4
2024-01,January 2024,C_100,NN5,MANCHESTER SURGICAL SERVICES LTD,266.0,71.0,97.0,11
2024-01,January 2024,C_100,NN8,SPENCER PRIVATE HOSPITALS LTD,286.0,184.0,6.0,1
2024-01,January 2024,C_100,NNE,DORKING HEALTHCARE LIMITED (DHC),117.0,102.0,0.0,1
2024-01,January 2024,C_100,NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",95.0,62.0,0.0,3
2024-01,January 2024,C_100,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",122.0,79.0,15.0,7
