specialty_code,specialty,floor,lag_months,n_pairs,mean_spearman,min_spearman,max_spearman,mean_n_providers
C_301,Gastroenterology,500,1,28,0.9744820441187356,0.9389047144281442,0.9840193704600485,120.78571428571429
C_301,Gastroenterology,500,2,27,0.9408375763548819,0.9075074657962358,0.9633114496137029,120.4074074074074
C_301,Gastroenterology,500,3,26,0.9046636082273104,0.8652909529589833,0.9402497065689854,119.92307692307692
C_301,Gastroenterology,500,4,25,0.8677325655313147,0.8219289963883768,0.9186440677966103,119.56
C_301,Gastroenterology,500,5,24,0.8323884693088982,0.7824559037300124,0.8796396524711579,119.16666666666667
C_301,Gastroenterology,500,6,23,0.8006131415936865,0.7406461932882671,0.8500427289559893,118.91304347826087
C_301,Gastroenterology,500,7,22,0.7704373990420046,0.7153740244468061,0.8270480144543113,118.63636363636364
C_301,Gastroenterology,500,8,21,0.7443641415824066,0.6973548219809436,0.7969553684696113,118.33333333333333
C_301,Gastroenterology,500,9,20,0.7215551161388012,0.6711182870103409,0.7697194131890045,117.95
C_301,Gastroenterology,500,10,19,0.7028082355335118,0.6443899953543437,0.7651901438541518,117.63157894736842
C_301,Gastroenterology,500,11,18,0.6875559645626875,0.6308201831287744,0.7571461439856256,117.33333333333333
C_301,Gastroenterology,500,12,17,0.67128588201833,0.6067966016991505,0.7642717102986968,117.17647058823529
C_301,Gastroenterology,500,13,16,0.6552243833790187,0.560266151148676,0.7642640218352362,117.0625
C_301,Gastroenterology,500,14,15,0.640861347680604,0.5089691138785236,0.7508630300234498,117.06666666666666
C_301,Gastroenterology,500,15,14,0.6279601435245105,0.4846393621963463,0.7313420212970438,116.92857142857143
C_301,Gastroenterology,500,16,13,0.6180843441664832,0.4667760643798048,0.7199637023593468,116.84615384615384
C_301,Gastroenterology,500,17,12,0.6121596934210128,0.4880329066236113,0.696591178095163,116.91666666666667
C_301,Gastroenterology,500,18,11,0.6085520563234348,0.5089456904013235,0.6843040018452312,117.0
C_301,Gastroenterology,500,19,10,0.6047182236454002,0.512342094595335,0.6712598720196615,116.9
C_301,Gastroenterology,500,20,9,0.6014100946050225,0.5101603044631531,0.6615000192211586,116.66666666666667
C_301,Gastroenterology,500,21,8,0.596960967210761,0.5273179199873748,0.6425617048060064,116.375
C_301,Gastroenterology,500,22,7,0.5944821817164861,0.541821194665825,0.639347210358315,116.0
C_301,Gastroenterology,500,23,6,0.5904241633614904,0.5450428631837927,0.6282875511396843,116.0
C_301,Gastroenterology,500,24,5,0.576455766489911,0.5401299350324839,0.6166378349286895,115.8
C_301,Gastroenterology,500,25,4,0.5524277840836668,0.5259139660938762,0.5980163764271711,115.5
C_301,Gastroenterology,500,26,3,0.528204318893185,0.5190562613430127,0.5412372760987927,115.0
C_301,Gastroenterology,500,27,2,0.5251092665125285,0.5207306453899273,0.5294878876351298,114.5
C_301,Gastroenterology,500,28,1,0.522115793523825,0.522115793523825,0.522115793523825,114.0
C_130,Ophthalmology,500,1,28,0.9819343682125433,0.954989587120584,0.991580948121646,136.28571428571428
C_130,Ophthalmology,500,2,27,0.9582984274244518,0.8942410643993071,0.9767899652078373,134.1851851851852
C_130,Ophthalmology,500,3,26,0.9318899356227898,0.8519784811369938,0.9629330091363035,132.07692307692307
C_130,Ophthalmology,500,4,25,0.906509157799852,0.817885837315549,0.9453154293213347,130.56
C_130,Ophthalmology,500,5,24,0.8845976397591894,0.8267125430090708,0.9322394901610019,129.375
C_130,Ophthalmology,500,6,23,0.8622684249021603,0.8090549757478273,0.9205459317585302,128.2173913043478
C_130,Ophthalmology,500,7,22,0.8393098448039088,0.7501481653443308,0.907369000749906,127.45454545454545
C_130,Ophthalmology,500,8,21,0.8156329095125247,0.7127742486521113,0.8840787119856889,126.61904761904762
C_130,Ophthalmology,500,9,20,0.7920900968153873,0.7099930603747397,0.8451252236135959,126.1
C_130,Ophthalmology,500,10,19,0.7715590807822407,0.6879760750522333,0.8182672289542519,125.73684210526316
C_130,Ophthalmology,500,11,18,0.7541059711132492,0.6643128547885002,0.7946850998463901,125.38888888888889
C_130,Ophthalmology,500,12,17,0.7355581338601237,0.6720389951256094,0.7827096774193547,124.76470588235294
C_130,Ophthalmology,500,13,16,0.7154903445748441,0.6342487798269122,0.7691188601424823,124.1875
C_130,Ophthalmology,500,14,15,0.6983184194147382,0.6133513536734067,0.7592442396313364,124.06666666666666
C_130,Ophthalmology,500,15,14,0.6823435406307888,0.6107105544878824,0.738775457558912,124.07142857142857
C_130,Ophthalmology,500,16,13,0.666113558207453,0.5961808824857154,0.7255678373811766,124.15384615384616
C_130,Ophthalmology,500,17,12,0.6521062831098574,0.5886668473106623,0.7067817501098734,124.16666666666667
C_130,Ophthalmology,500,18,11,0.6323391496104812,0.5806936729440454,0.6923978252718409,123.81818181818181
C_130,Ophthalmology,500,19,10,0.6173288993627607,0.5558143194335168,0.6817292369703787,124.1
C_130,Ophthalmology,500,20,9,0.6078730849498157,0.5602643587726199,0.6670783410138248,124.66666666666667
C_130,Ophthalmology,500,21,8,0.5985714953780306,0.5649043869516311,0.6605381589299762,125.375
C_130,Ophthalmology,500,22,7,0.5910076528073213,0.5652463442069741,0.6059184008248968,125.28571428571429
C_130,Ophthalmology,500,23,6,0.5964371938140896,0.5785114083398899,0.6052798087739032,125.5
C_130,Ophthalmology,500,24,5,0.598758456829661,0.5729321174755905,0.639589051368579,125.0
C_130,Ophthalmology,500,25,4,0.6090183122271006,0.5714744295830054,0.6374009216589861,124.75
C_130,Ophthalmology,500,26,3,0.6031328199902835,0.5746604583972862,0.6340645161290321,124.0
C_130,Ophthalmology,500,27,2,0.6086826946640699,0.601082147786047,0.6162832415420928,123.5
C_130,Ophthalmology,500,28,1,0.6164372960493223,0.6164372960493223,0.6164372960493223,123.0
C_120,"Ear, Nose and Throat",500,1,28,0.9705537530975611,0.9207153502235466,0.9857775897905301,120.75
C_120,"Ear, Nose and Throat",500,2,27,0.9316522396451142,0.8272049857742851,0.9603831363053696,120.29629629629629
C_120,"Ear, Nose and Throat",500,3,26,0.8895516960182699,0.7769475456414638,0.925782414307004,119.84615384615384
C_120,"Ear, Nose and Throat",500,4,25,0.8487292022552293,0.7269602055698311,0.8976178901312589,119.72
C_120,"Ear, Nose and Throat",500,5,24,0.8145206999497004,0.6667355077624271,0.8686475822893983,119.54166666666667
C_120,"Ear, Nose and Throat",500,6,23,0.7827406850571061,0.632783347570022,0.840258772524048,119.43478260869566
C_120,"Ear, Nose and Throat",500,7,22,0.7512209611186187,0.5805696463722386,0.8114521841794567,119.27272727272727
C_120,"Ear, Nose and Throat",500,8,21,0.725666101971378,0.5712204047199062,0.7778011109605742,119.0952380952381
C_120,"Ear, Nose and Throat",500,9,20,0.7056417084083619,0.5555458167621677,0.7600531738118977,119.0
C_120,"Ear, Nose and Throat",500,10,19,0.6893984853327013,0.5615439396097422,0.7515239994302807,118.89473684210526
C_120,"Ear, Nose and Throat",500,11,18,0.6732051267715105,0.5497792337273892,0.7379290699330581,118.72222222222223
C_120,"Ear, Nose and Throat",500,12,17,0.6557156429192731,0.546887907705455,0.7171770403076486,118.41176470588235
C_120,"Ear, Nose and Throat",500,13,16,0.6348996559344109,0.5404920768829045,0.6958339267910556,118.25
C_120,"Ear, Nose and Throat",500,14,15,0.6130468920977417,0.5280897235034823,0.6780331967497742,118.06666666666666
C_120,"Ear, Nose and Throat",500,15,14,0.5918681854510265,0.5181999788181243,0.6643142002563739,117.92857142857143
C_120,"Ear, Nose and Throat",500,16,13,0.5714621237254238,0.5104576380747867,0.6407064520723545,117.6923076923077
C_120,"Ear, Nose and Throat",500,17,12,0.5487398327594755,0.46765078998962056,0.6342839613029045,117.5
C_120,"Ear, Nose and Throat",500,18,11,0.5279612879859447,0.4688471553696837,0.6172069870973163,117.18181818181819
C_120,"Ear, Nose and Throat",500,19,10,0.5098570911645182,0.4379195017875677,0.5958205968176058,116.9
C_120,"Ear, Nose and Throat",500,20,9,0.4930207170800234,0.4320160649792444,0.5405066697420521,116.77777777777777
C_120,"Ear, Nose and Throat",500,21,8,0.4896236389408859,0.42670203359858533,0.5432053204167148,116.75
C_120,"Ear, Nose and Throat",500,22,7,0.49463462712001516,0.44907402335119184,0.5556480740927401,116.85714285714286
C_120,"Ear, Nose and Throat",500,23,6,0.4964810313299703,0.4375309086004585,0.5445734225893748,117.0
C_120,"Ear, Nose and Throat",500,24,5,0.5037836512703515,0.4521797119693087,0.5341902862840051,117.4
C_120,"Ear, Nose and Throat",500,25,4,0.5003995642499546,0.46911387852358044,0.5266520585860915,117.25
C_120,"Ear, Nose and Throat",500,26,3,0.49860819209669205,0.47566092930001214,0.5372626594134484,117.33333333333333
C_120,"Ear, Nose and Throat",500,27,2,0.5089670045062489,0.4989317761002707,0.519002232912227,117.5
C_120,"Ear, Nose and Throat",500,28,1,0.4790354212089008,0.4790354212089008,0.4790354212089008,118.0
C_110,Trauma and Orthopaedics,500,1,28,0.9825731171605147,0.9613567928897908,0.9908131794853473,216.0
C_110,Trauma and Orthopaedics,500,2,27,0.9608736147272771,0.9297155389944453,0.9792363408745418,214.37037037037038
C_110,Trauma and Orthopaedics,500,3,26,0.9380326222909486,0.872262068632423,0.9588766239178841,213.42307692307693
