specialty_code,specialty,floor,lag_months,n_pairs,mean_spearman,min_spearman,max_spearman,mean_n_providers,panel
C_301,Gastroenterology,500,1,28,0.9733886990767724,0.9357482586840384,0.9830579537001555,110.0,balanced
C_301,Gastroenterology,500,2,27,0.9391949080022476,0.9078962198228253,0.9603453328223971,110.0,balanced
C_301,Gastroenterology,500,3,26,0.9020996360445902,0.8553028424588057,0.9364064648468319,110.0,balanced
C_301,Gastroenterology,500,4,25,0.8652527556747742,0.8153235804611951,0.9132430178301738,110.0,balanced
C_301,Gastroenterology,500,5,24,0.8306264980576907,0.779771431147578,0.8710276581836215,110.0,balanced
C_301,Gastroenterology,500,6,23,0.7984689552300243,0.7371142618849041,0.8437616933029778,110.0,balanced
C_301,Gastroenterology,500,7,22,0.768983161643712,0.713031129544891,0.8235556657575005,110.0,balanced
C_301,Gastroenterology,500,8,21,0.7430771889487485,0.6931587133421996,0.7918535716700854,110.0,balanced
C_301,Gastroenterology,500,9,20,0.7206784933390437,0.6705182246466651,0.7839100151026757,110.0,balanced
C_301,Gastroenterology,500,10,19,0.7027276167787998,0.6458490183260825,0.7732615017018687,110.0,balanced
C_301,Gastroenterology,500,11,18,0.6870324870324871,0.6278340058156572,0.7609088654960214,110.0,balanced
C_301,Gastroenterology,500,12,17,0.6705675503300975,0.5974122579627166,0.7733606834524266,110.0,balanced
C_301,Gastroenterology,500,13,16,0.6537587629330749,0.5436016500236684,0.771990171990172,110.0,balanced
C_301,Gastroenterology,500,14,15,0.6381453012645673,0.5066158735883506,0.759385073146541,110.0,balanced
C_301,Gastroenterology,500,15,14,0.6255006585281816,0.48703198611455495,0.7461037350945607,110.0,balanced
C_301,Gastroenterology,500,16,13,0.6159488416369151,0.4655997114712711,0.7196582737867142,110.0,balanced
C_301,Gastroenterology,500,17,12,0.6084131671287635,0.4805671392827356,0.693744787322769,110.0,balanced
C_301,Gastroenterology,500,18,11,0.6025885617211723,0.4941911052002795,0.6787773595113045,110.0,balanced
C_301,Gastroenterology,500,19,10,0.5976917701688345,0.4905213804296373,0.6786421116696346,110.0,balanced
C_301,Gastroenterology,500,20,9,0.593649362456702,0.48931316637738653,0.649293330027275,110.0,balanced
C_301,Gastroenterology,500,21,8,0.5876766674931813,0.5230079119987378,0.6343980343980343,110.0,balanced
C_301,Gastroenterology,500,22,7,0.5837728351489818,0.536108919595158,0.623163447016658,110.0,balanced
C_301,Gastroenterology,500,23,6,0.5777336969997521,0.5261456619254784,0.6164641705926109,110.0,balanced
C_301,Gastroenterology,500,24,5,0.5633766877803575,0.5217816649009309,0.595275342064333,110.0,balanced
C_301,Gastroenterology,500,25,4,0.5400175822194171,0.5084642607578387,0.5678921623875752,110.0,balanced
C_301,Gastroenterology,500,26,3,0.5195605947899525,0.4953903027297523,0.5426458986092013,110.0,balanced
C_301,Gastroenterology,500,27,2,0.5190271171922549,0.5087888555778465,0.5292653788066632,110.0,balanced
C_301,Gastroenterology,500,28,1,0.5140725379257489,0.5140725379257489,0.5140725379257489,110.0,balanced
C_130,Ophthalmology,500,1,28,0.9814887567181144,0.9636814462502535,0.9895949327141987,110.0,balanced
C_130,Ophthalmology,500,2,27,0.9562181030070939,0.9338006897639926,0.9756193224083132,110.0,balanced
C_130,Ophthalmology,500,3,26,0.9266061981658312,0.8945878322025111,0.9504181412438294,110.0,balanced
C_130,Ophthalmology,500,4,25,0.8963045781394405,0.8523454229876248,0.9277506029799608,110.0,balanced
C_130,Ophthalmology,500,5,24,0.8682960274703394,0.8288032820142912,0.9050469986249803,110.0,balanced
C_130,Ophthalmology,500,6,23,0.8414961939493253,0.7895363253161418,0.8920091066880058,110.0,balanced
C_130,Ophthalmology,500,7,22,0.8150866918173008,0.7599981966954444,0.8755449360953947,110.0,balanced
C_130,Ophthalmology,500,8,21,0.7872615854267229,0.7409733336338842,0.8450240064918964,110.0,balanced
C_130,Ophthalmology,500,9,20,0.760134797015531,0.725654261434078,0.8073078917115614,110.0,balanced
C_130,Ophthalmology,500,10,19,0.7372983887711073,0.7058269278452765,0.7686901246534275,110.0,balanced
C_130,Ophthalmology,500,11,18,0.716255538273887,0.6921037801771747,0.7424881094605865,110.0,balanced
C_130,Ophthalmology,500,12,17,0.6945960531497498,0.6759551878817934,0.7219935531862137,110.0,balanced
C_130,Ophthalmology,500,13,16,0.6729808624304037,0.6395464689042671,0.690850483511034,110.0,balanced
C_130,Ophthalmology,500,14,15,0.6498186927544726,0.6007844374816851,0.6775961950273877,110.0,balanced
C_130,Ophthalmology,500,15,14,0.6267726322772196,0.5824538466740301,0.662754998534815,110.0,balanced
C_130,Ophthalmology,500,16,13,0.6028839001316065,0.5534296598516781,0.6436219371999189,110.0,balanced
C_130,Ophthalmology,500,17,12,0.5792319425346948,0.5341613506751121,0.6279241710434371,110.0,balanced
C_130,Ophthalmology,500,18,11,0.5586559643273572,0.5157856772535672,0.612523950138629,110.0,balanced
C_130,Ophthalmology,500,19,10,0.5429299190767082,0.5054707751955458,0.6042287491828776,110.0,balanced
C_130,Ophthalmology,500,20,9,0.5294396982470375,0.4867344408628812,0.5963753578432477,110.0,balanced
C_130,Ophthalmology,500,21,8,0.5192784527646914,0.4846245745328314,0.5776750896016952,110.0,balanced
C_130,Ophthalmology,500,22,7,0.5111486083963148,0.47948515654937673,0.554574758244483,110.0,balanced
C_130,Ophthalmology,500,23,6,0.5091961018566523,0.47916957825214707,0.5535198250794582,110.0,balanced
C_130,Ophthalmology,500,24,5,0.5065347248833488,0.4841647318711539,0.521763631855375,110.0,balanced
C_130,Ophthalmology,500,25,4,0.5106372427473345,0.5025854879065887,0.5180848905619548,110.0,balanced
C_130,Ophthalmology,500,26,3,0.5177963618330591,0.5117372585262493,0.5240448121182065,110.0,balanced
C_130,Ophthalmology,500,27,2,0.5304059689380791,0.5292834118522192,0.531528526023939,110.0,balanced
C_130,Ophthalmology,500,28,1,0.5391294547257849,0.5391294547257849,0.5391294547257849,110.0,balanced
C_120,"Ear, Nose and Throat",500,1,28,0.970376402722852,0.9121767481419981,0.9858650088090563,114.0,balanced
C_120,"Ear, Nose and Throat",500,2,27,0.9312208099231449,0.8082339361292806,0.9634839310666048,114.0,balanced
C_120,"Ear, Nose and Throat",500,3,26,0.8884338884622396,0.7676758267349791,0.9258419230068246,114.0,balanced
C_120,"Ear, Nose and Throat",500,4,25,0.8475792713796806,0.701034810959681,0.9019946943156276,114.0,balanced
C_120,"Ear, Nose and Throat",500,5,24,0.8137613657074584,0.6621534598327292,0.8724934691480529,114.0,balanced
C_120,"Ear, Nose and Throat",500,6,23,0.7812839474432607,0.6062777181507057,0.8482493266641016,114.0,balanced
C_120,"Ear, Nose and Throat",500,7,22,0.750212356243016,0.5800328061400135,0.8287438488487475,114.0,balanced
C_120,"Ear, Nose and Throat",500,8,21,0.7230826199781872,0.5658492132601609,0.7974119600656124,114.0,balanced
C_120,"Ear, Nose and Throat",500,9,20,0.7001417549259836,0.5398392094125272,0.7701383123063528,114.0,balanced
C_120,"Ear, Nose and Throat",500,10,19,0.6789849920968966,0.5265466474960006,0.754917883396448,114.0,balanced
C_120,"Ear, Nose and Throat",500,11,18,0.6585420843374308,0.5103865859338613,0.7287944756080273,114.0,balanced
C_120,"Ear, Nose and Throat",500,12,17,0.6377854306907754,0.5010793625078472,0.7071667240436607,114.0,balanced
C_120,"Ear, Nose and Throat",500,13,16,0.6160962718454467,0.5038496587756425,0.685976387679472,114.0,balanced
