specialty_code,specialty,floor,from_period,to_period,n_in_both,n_only_from,n_only_to,spearman
C_301,Gastroenterology,500,2024-01,2024-02,119,1,4,0.9825737074490816
C_301,Gastroenterology,500,2024-02,2024-03,122,1,0,0.9792215345266851
C_301,Gastroenterology,500,2024-03,2024-04,122,0,1,0.9806292359089422
C_301,Gastroenterology,500,2024-04,2024-05,123,0,0,0.9805497155976319
C_301,Gastroenterology,500,2024-05,2024-06,123,0,0,0.9642143142742904
C_301,Gastroenterology,500,2024-06,2024-07,122,1,0,0.9728967916965445
C_301,Gastroenterology,500,2024-07,2024-08,122,0,2,0.9685415090162283
C_301,Gastroenterology,500,2024-08,2024-09,124,0,0,0.980582218725413
C_301,Gastroenterology,500,2024-09,2024-10,124,0,2,0.9721400033686359
C_301,Gastroenterology,500,2024-10,2024-11,125,1,1,0.9782411340121125
C_301,Gastroenterology,500,2024-11,2024-12,125,1,0,0.980700460829493
C_301,Gastroenterology,500,2024-12,2025-01,123,2,0,0.9755839599644016
C_301,Gastroenterology,500,2025-01,2025-02,122,1,1,0.9768423209228706
C_301,Gastroenterology,500,2025-02,2025-03,121,2,0,0.9728695298740005
C_301,Gastroenterology,500,2025-03,2025-04,119,2,1,0.9712790200826095
C_301,Gastroenterology,500,2025-04,2025-05,117,3,1,0.9698182199643333
C_301,Gastroenterology,500,2025-05,2025-06,117,1,0,0.9657869891651306
C_301,Gastroenterology,500,2025-06,2025-07,116,1,3,0.9796640141467727
C_301,Gastroenterology,500,2025-07,2025-08,119,0,0,0.9695698618430424
C_301,Gastroenterology,500,2025-08,2025-09,119,0,1,0.9840193704600485
C_301,Gastroenterology,500,2025-09,2025-10,120,0,1,0.9825890686853254
C_301,Gastroenterology,500,2025-10,2025-11,120,1,0,0.982866865754566
C_301,Gastroenterology,500,2025-11,2025-12,120,0,1,0.972532814778804
C_301,Gastroenterology,500,2025-12,2026-01,121,0,0,0.9827259178973037
C_301,Gastroenterology,500,2026-01,2026-02,120,1,0,0.9677824848947844
C_301,Gastroenterology,500,2026-02,2026-03,119,1,2,0.9389047144281442
C_301,Gastroenterology,500,2026-03,2026-04,119,2,0,0.9722475430850308
C_301,Gastroenterology,500,2026-04,2026-05,119,0,1,0.9801239139723689
C_130,Ophthalmology,500,2024-01,2024-02,130,1,3,0.9882341695230031
C_130,Ophthalmology,500,2024-02,2024-03,131,2,3,0.9852346127155288
C_130,Ophthalmology,500,2024-03,2024-04,133,1,2,0.9906550637108374
C_130,Ophthalmology,500,2024-04,2024-05,131,4,2,0.9898841616398867
C_130,Ophthalmology,500,2024-05,2024-06,133,0,1,0.9880331765642056
C_130,Ophthalmology,500,2024-06,2024-07,129,5,2,0.9865440518783544
C_130,Ophthalmology,500,2024-07,2024-08,128,3,3,0.9768471891594945
C_130,Ophthalmology,500,2024-08,2024-09,127,4,0,0.9866891638545181
C_130,Ophthalmology,500,2024-09,2024-10,125,2,3,0.9781996927803378
C_130,Ophthalmology,500,2024-10,2024-11,126,2,3,0.9806524184476941
C_130,Ophthalmology,500,2024-11,2024-12,129,0,7,0.9813729874776388
C_130,Ophthalmology,500,2024-12,2025-01,130,6,0,0.9782545166532384
C_130,Ophthalmology,500,2025-01,2025-02,127,3,2,0.9869235095613047
C_130,Ophthalmology,500,2025-02,2025-03,129,0,2,0.991580948121646
C_130,Ophthalmology,500,2025-03,2025-04,131,0,2,0.9847168099076495
C_130,Ophthalmology,500,2025-04,2025-05,132,1,3,0.9865955659447021
C_130,Ophthalmology,500,2025-05,2025-06,135,0,5,0.9895424836601309
C_130,Ophthalmology,500,2025-06,2025-07,135,5,1,0.9866891035020975
C_130,Ophthalmology,500,2025-07,2025-08,134,2,3,0.9883090811606131
C_130,Ophthalmology,500,2025-08,2025-09,137,0,1,0.9794042974219201
C_130,Ophthalmology,500,2025-09,2025-10,136,2,7,0.989246696245408
C_130,Ophthalmology,500,2025-10,2025-11,138,5,4,0.9567386395548746
C_130,Ophthalmology,500,2025-11,2025-12,142,0,9,0.9843249348793252
C_130,Ophthalmology,500,2025-12,2026-01,149,2,0,0.9814692544893888
C_130,Ophthalmology,500,2026-01,2026-02,148,1,14,0.9553004586561635
C_130,Ophthalmology,500,2026-02,2026-03,158,4,10,0.954989587120584
C_130,Ophthalmology,500,2026-03,2026-04,165,3,6,0.9803682448431681
C_130,Ophthalmology,500,2026-04,2026-05,168,3,4,0.9873614904775
C_120,"Ear, Nose and Throat",500,2024-01,2024-02,122,1,1,0.9809332465360963
C_120,"Ear, Nose and Throat",500,2024-02,2024-03,122,1,1,0.9857775897905301
C_120,"Ear, Nose and Throat",500,2024-03,2024-04,123,0,0,0.9657298370974191
C_120,"Ear, Nose and Throat",500,2024-04,2024-05,123,0,0,0.9810333930943752
C_120,"Ear, Nose and Throat",500,2024-05,2024-06,122,1,0,0.9837089957405466
C_120,"Ear, Nose and Throat",500,2024-06,2024-07,121,1,1,0.9765817639886191
C_120,"Ear, Nose and Throat",500,2024-07,2024-08,120,2,0,0.9669907632474476
C_120,"Ear, Nose and Throat",500,2024-08,2024-09,119,1,2,0.9735935051986898
C_120,"Ear, Nose and Throat",500,2024-09,2024-10,119,2,1,0.9855291269049994
C_120,"Ear, Nose and Throat",500,2024-10,2024-11,120,0,3,0.9766164316966456
C_120,"Ear, Nose and Throat",500,2024-11,2024-12,122,1,1,0.9800873039214066
C_120,"Ear, Nose and Throat",500,2024-12,2025-01,121,2,1,0.9814185069773742
C_120,"Ear, Nose and Throat",500,2025-01,2025-02,121,1,0,0.9778553041593278
C_120,"Ear, Nose and Throat",500,2025-02,2025-03,121,0,1,0.980266901503861
C_120,"Ear, Nose and Throat",500,2025-03,2025-04,122,0,1,0.9824400818185124
C_120,"Ear, Nose and Throat",500,2025-04,2025-05,122,1,1,0.9759435068947626
C_120,"Ear, Nose and Throat",500,2025-05,2025-06,123,0,0,0.9672776050869977
C_120,"Ear, Nose and Throat",500,2025-06,2025-07,122,1,0,0.9716741402612509
C_120,"Ear, Nose and Throat",500,2025-07,2025-08,120,2,0,0.9841030627126883
C_120,"Ear, Nose and Throat",500,2025-08,2025-09,119,1,0,0.9625907990314773
C_120,"Ear, Nose and Throat",500,2025-09,2025-10,119,0,0,0.9654322746047574
C_120,"Ear, Nose and Throat",500,2025-10,2025-11,118,1,0,0.9409829120696519
C_120,"Ear, Nose and Throat",500,2025-11,2025-12,117,1,1,0.9465150084670831
C_120,"Ear, Nose and Throat",500,2025-12,2026-01,118,0,4,0.9675259934482268
C_120,"Ear, Nose and Throat",500,2026-01,2026-02,121,1,0,0.9495325836607502
C_120,"Ear, Nose and Throat",500,2026-02,2026-03,121,0,0,0.9207153502235466
C_120,"Ear, Nose and Throat",500,2026-03,2026-04,120,1,3,0.9755399680533369
C_120,"Ear, Nose and Throat",500,2026-04,2026-05,123,0,1,0.969109130541332
C_110,Trauma and Orthopaedics,500,2024-01,2024-02,219,4,4,0.9826167925325902
C_110,Trauma and Orthopaedics,500,2024-02,2024-03,219,4,2,0.9845921829835367
C_110,Trauma and Orthopaedics,500,2024-03,2024-04,217,4,2,0.9831909976183429
C_110,Trauma and Orthopaedics,500,2024-04,2024-05,216,3,2,0.9845401826647137
C_110,Trauma and Orthopaedics,500,2024-05,2024-06,212,6,1,0.9888978870090793
C_110,Trauma and Orthopaedics,500,2024-06,2024-07,213,0,3,0.9866031361073788
C_110,Trauma and Orthopaedics,500,2024-07,2024-08,215,1,3,0.9793190968867833
C_110,Trauma and Orthopaedics,500,2024-08,2024-09,216,2,2,0.9908131794853473
C_110,Trauma and Orthopaedics,500,2024-09,2024-10,216,2,2,0.9896852158531784
C_110,Trauma and Orthopaedics,500,2024-10,2024-11,217,1,2,0.9862740532896338
C_110,Trauma and Orthopaedics,500,2024-11,2024-12,216,3,3,0.987486157253599
C_110,Trauma and Orthopaedics,500,2024-12,2025-01,212,7,3,0.9821638799599098
C_110,Trauma and Orthopaedics,500,2025-01,2025-02,213,2,3,0.987675431611406
C_110,Trauma and Orthopaedics,500,2025-02,2025-03,215,1,2,0.9771969586292215
C_110,Trauma and Orthopaedics,500,2025-03,2025-04,213,4,2,0.9854935685477942
C_110,Trauma and Orthopaedics,500,2025-04,2025-05,213,2,3,0.9875549768761535
C_110,Trauma and Orthopaedics,500,2025-05,2025-06,216,0,1,0.9857261934531251
C_110,Trauma and Orthopaedics,500,2025-06,2025-07,215,2,2,0.9829131245100226
C_110,Trauma and Orthopaedics,500,2025-07,2025-08,217,0,4,0.987150436138431
C_110,Trauma and Orthopaedics,500,2025-08,2025-09,219,2,1,0.9827550355890184
C_110,Trauma and Orthopaedics,500,2025-09,2025-10,217,3,2,0.9815081009221288
C_110,Trauma and Orthopaedics,500,2025-10,2025-11,216,3,4,0.9847771466676193
C_110,Trauma and Orthopaedics,500,2025-11,2025-12,218,2,2,0.9865220259354861
C_110,Trauma and Orthopaedics,500,2025-12,2026-01,219,1,1,0.9725833171478516
C_110,Trauma and Orthopaedics,500,2026-01,2026-02,219,1,3,0.9781473145429411
C_110,Trauma and Orthopaedics,500,2026-02,2026-03,217,5,1,0.9613567928897908
C_110,Trauma and Orthopaedics,500,2026-03,2026-04,213,5,9,0.962620547832933
C_110,Trauma and Orthopaedics,500,2026-04,2026-05,220,2,2,0.9818835475563921
C_301,Gastroenterology,1000,2024-01,2024-02,108,2,3,0.9833947812169538
C_301,Gastroenterology,1000,2024-02,2024-03,111,0,3,0.9795366795366794
C_301,Gastroenterology,1000,2024-03,2024-04,113,1,1,0.9812362765320384
C_301,Gastroenterology,1000,2024-04,2024-05,112,2,1,0.9807547750025627
C_301,Gastroenterology,1000,2024-05,2024-06,112,1,1,0.9645846858236239
C_301,Gastroenterology,1000,2024-06,2024-07,109,4,1,0.9704012603095172
C_301,Gastroenterology,1000,2024-07,2024-08,109,1,4,0.9672134185895656
C_301,Gastroenterology,1000,2024-08,2024-09,111,2,1,0.9817830817830817
C_301,Gastroenterology,1000,2024-09,2024-10,111,1,0,0.9762876805211287
C_301,Gastroenterology,1000,2024-10,2024-11,111,0,1,0.9789728390968603
C_301,Gastroenterology,1000,2024-11,2024-12,111,1,1,0.9819322569322568
C_301,Gastroenterology,1000,2024-12,2025-01,110,2,2,0.9769267182111219
C_301,Gastroenterology,1000,2025-01,2025-02,110,2,0,0.9795054437256272
C_301,Gastroenterology,1000,2025-02,2025-03,109,1,2,0.9761189880455936
C_301,Gastroenterology,1000,2025-03,2025-04,110,1,0,0.9707774496765322
C_301,Gastroenterology,1000,2025-04,2025-05,109,1,1,0.9715318320822909
C_301,Gastroenterology,1000,2025-05,2025-06,110,0,0,0.9651962220769561
C_301,Gastroenterology,1000,2025-06,2025-07,108,2,1,0.9807177493879028
C_301,Gastroenterology,1000,2025-07,2025-08,109,0,1,0.9701603187841721
C_301,Gastroenterology,1000,2025-08,2025-09,110,0,0,0.9839956720690666
C_301,Gastroenterology,1000,2025-09,2025-10,110,0,1,0.9798841376823029
C_301,Gastroenterology,1000,2025-10,2025-11,109,2,0,0.984051524418497
C_301,Gastroenterology,1000,2025-11,2025-12,107,2,1,0.9794274966202317
C_301,Gastroenterology,1000,2025-12,2026-01,106,2,2,0.9844623019371741
C_301,Gastroenterology,1000,2026-01,2026-02,108,0,0,0.973725075499919
C_301,Gastroenterology,1000,2026-02,2026-03,108,0,0,0.9297588765993121
C_301,Gastroenterology,1000,2026-03,2026-04,107,1,1,0.9686024412704011
C_301,Gastroenterology,1000,2026-04,2026-05,106,2,0,0.9816409300450917
C_130,Ophthalmology,1000,2024-01,2024-02,109,0,1,0.9882309331850617
C_130,Ophthalmology,1000,2024-02,2024-03,109,1,0,0.9826707441386341
C_130,Ophthalmology,1000,2024-03,2024-04,108,1,2,0.9859193841874113
C_130,Ophthalmology,1000,2024-04,2024-05,109,1,1,0.9868038179964786
C_130,Ophthalmology,1000,2024-05,2024-06,109,1,1,0.9816884440737653
C_130,Ophthalmology,1000,2024-06,2024-07,109,1,0,0.9794736354369383
C_130,Ophthalmology,1000,2024-07,2024-08,109,0,1,0.9687795385043093
C_130,Ophthalmology,1000,2024-08,2024-09,108,2,0,0.9809844998904418
C_130,Ophthalmology,1000,2024-09,2024-10,107,1,0,0.9798683359783694
C_130,Ophthalmology,1000,2024-10,2024-11,107,0,0,0.976429788984894
C_130,Ophthalmology,1000,2024-11,2024-12,107,0,1,0.9750191030388526
C_130,Ophthalmology,1000,2024-12,2025-01,108,0,0,0.9686091819333695
C_130,Ophthalmology,1000,2025-01,2025-02,108,0,3,0.9823373060104603
C_130,Ophthalmology,1000,2025-02,2025-03,111,0,1,0.9891716391716391
C_130,Ophthalmology,1000,2025-03,2025-04,110,2,1,0.9830669702229334
C_130,Ophthalmology,1000,2025-04,2025-05,111,0,2,0.9790452790452789
C_130,Ophthalmology,1000,2025-05,2025-06,112,1,0,0.9840520039635084
C_130,Ophthalmology,1000,2025-06,2025-07,111,1,2,0.9779571779571778
C_130,Ophthalmology,1000,2025-07,2025-08,112,1,2,0.9823606792633341
C_130,Ophthalmology,1000,2025-08,2025-09,113,1,2,0.9686106860070531
C_130,Ophthalmology,1000,2025-09,2025-10,114,1,4,0.9844312589862498
C_130,Ophthalmology,1000,2025-10,2025-11,116,2,1,0.9399146580555876
C_130,Ophthalmology,1000,2025-11,2025-12,117,0,1,0.9806605823554975
C_130,Ophthalmology,1000,2025-12,2026-01,117,1,2,0.9695035142142097
C_130,Ophthalmology,1000,2026-01,2026-02,119,0,2,0.9487110098276601
C_130,Ophthalmology,1000,2026-02,2026-03,117,4,0,0.9584063900253263
C_130,Ophthalmology,1000,2026-03,2026-04,115,2,2,0.9868933954075595
C_130,Ophthalmology,1000,2026-04,2026-05,116,1,2,0.989251528082113
C_120,"Ear, Nose and Throat",1000,2024-01,2024-02,114,1,0,0.9794819869990483
C_120,"Ear, Nose and Throat",1000,2024-02,2024-03,113,1,0,0.9837480870317388
C_120,"Ear, Nose and Throat",1000,2024-03,2024-04,113,0,0,0.9729772439949432
C_120,"Ear, Nose and Throat",1000,2024-04,2024-05,113,0,0,0.9793815290438486
C_120,"Ear, Nose and Throat",1000,2024-05,2024-06,113,0,0,0.9834902521791203
C_120,"Ear, Nose and Throat",1000,2024-06,2024-07,113,0,0,0.9771109188901459
C_120,"Ear, Nose and Throat",1000,2024-07,2024-08,113,0,0,0.9665480071861069
C_120,"Ear, Nose and Throat",1000,2024-08,2024-09,113,0,0,0.9756720340674696
C_120,"Ear, Nose and Throat",1000,2024-09,2024-10,113,0,0,0.9861850422516469
C_120,"Ear, Nose and Throat",1000,2024-10,2024-11,112,1,1,0.9732804865548228
C_120,"Ear, Nose and Throat",1000,2024-11,2024-12,112,1,0,0.9797211876857895
C_120,"Ear, Nose and Throat",1000,2024-12,2025-01,112,0,0,0.9821129599890661
C_120,"Ear, Nose and Throat",1000,2025-01,2025-02,112,0,1,0.9823350531315134
C_120,"Ear, Nose and Throat",1000,2025-02,2025-03,112,1,0,0.9797724399494311
C_120,"Ear, Nose and Throat",1000,2025-03,2025-04,112,0,1,0.9811306249359347
C_120,"Ear, Nose and Throat",1000,2025-04,2025-05,113,0,2,0.9745076186040322
C_120,"Ear, Nose and Throat",1000,2025-05,2025-06,115,0,0,0.9637260317209817
C_120,"Ear, Nose and Throat",1000,2025-06,2025-07,114,1,0,0.9695753427431605
C_120,"Ear, Nose and Throat",1000,2025-07,2025-08,114,0,0,0.9823413863631761
C_120,"Ear, Nose and Throat",1000,2025-08,2025-09,114,0,0,0.9602924201616007
C_120,"Ear, Nose and Throat",1000,2025-09,2025-10,113,1,0,0.9607092953622997
C_120,"Ear, Nose and Throat",1000,2025-10,2025-11,112,1,0,0.9333635152219223
C_120,"Ear, Nose and Throat",1000,2025-11,2025-12,112,0,1,0.9410513547681689
C_120,"Ear, Nose and Throat",1000,2025-12,2026-01,113,0,2,0.9646184044181251
C_120,"Ear, Nose and Throat",1000,2026-01,2026-02,115,0,0,0.9424919119387676
C_120,"Ear, Nose and Throat",1000,2026-02,2026-03,115,0,1,0.9101633393829401
C_120,"Ear, Nose and Throat",1000,2026-03,2026-04,115,1,0,0.9738578079381361
C_120,"Ear, Nose and Throat",1000,2026-04,2026-05,114,1,0,0.9670156537939695
C_110,Trauma and Orthopaedics,1000,2024-01,2024-02,173,2,1,0.9871645706922049
C_110,Trauma and Orthopaedics,1000,2024-02,2024-03,170,4,1,0.9873693980862354
C_110,Trauma and Orthopaedics,1000,2024-03,2024-04,170,1,0,0.9855447878310466
C_110,Trauma and Orthopaedics,1000,2024-04,2024-05,168,2,3,0.9906383344890948
C_110,Trauma and Orthopaedics,1000,2024-05,2024-06,169,2,3,0.9897394460742878
C_110,Trauma and Orthopaedics,1000,2024-06,2024-07,172,0,3,0.9894321770281328
C_110,Trauma and Orthopaedics,1000,2024-07,2024-08,171,4,2,0.979825761393909
C_110,Trauma and Orthopaedics,1000,2024-08,2024-09,173,0,2,0.9883674576208334
C_110,Trauma and Orthopaedics,1000,2024-09,2024-10,174,1,3,0.9875076169594805
C_110,Trauma and Orthopaedics,1000,2024-10,2024-11,174,3,0,0.9873572709929097
C_110,Trauma and Orthopaedics,1000,2024-11,2024-12,172,2,4,0.9867200599967453
C_110,Trauma and Orthopaedics,1000,2024-12,2025-01,174,2,2,0.9808400011389845
C_110,Trauma and Orthopaedics,1000,2025-01,2025-02,174,2,1,0.9873436031777669
C_110,Trauma and Orthopaedics,1000,2025-02,2025-03,171,4,3,0.9780713754289966
C_110,Trauma and Orthopaedics,1000,2025-03,2025-04,172,2,1,0.9869205208208044
C_110,Trauma and Orthopaedics,1000,2025-04,2025-05,173,0,2,0.988654852571026
C_110,Trauma and Orthopaedics,1000,2025-05,2025-06,174,1,3,0.9848606167601581
C_110,Trauma and Orthopaedics,1000,2025-06,2025-07,174,3,1,0.9874569250019681
C_110,Trauma and Orthopaedics,1000,2025-07,2025-08,172,3,4,0.9890123884789267
C_110,Trauma and Orthopaedics,1000,2025-08,2025-09,174,2,3,0.9827534952589765
C_110,Trauma and Orthopaedics,1000,2025-09,2025-10,173,4,2,0.9868933996504908
C_110,Trauma and Orthopaedics,1000,2025-10,2025-11,171,4,2,0.9843065255477957
C_110,Trauma and Orthopaedics,1000,2025-11,2025-12,171,2,2,0.9862745098039217
C_110,Trauma and Orthopaedics,1000,2025-12,2026-01,171,2,3,0.9769217846257231
C_110,Trauma and Orthopaedics,1000,2026-01,2026-02,174,0,2,0.9773205387397135
C_110,Trauma and Orthopaedics,1000,2026-02,2026-03,176,0,3,0.961998679286815
C_110,Trauma and Orthopaedics,1000,2026-03,2026-04,171,8,0,0.9701730386156913
C_110,Trauma and Orthopaedics,1000,2026-04,2026-05,170,1,3,0.9859185031845189
