specialty_code,specialty,floor,from_period,to_period,n_in_both,n_only_from,n_only_to,spearman,panel
C_301,Gastroenterology,500,2024-01,2024-02,110,0,0,0.9808939882334378,balanced
C_301,Gastroenterology,500,2024-02,2024-03,110,0,0,0.9769808173477897,balanced
C_301,Gastroenterology,500,2024-03,2024-04,110,0,0,0.9789915019272817,balanced
C_301,Gastroenterology,500,2024-04,2024-05,110,0,0,0.9769447512566778,balanced
C_301,Gastroenterology,500,2024-05,2024-06,110,0,0,0.959407614453486,balanced
C_301,Gastroenterology,500,2024-06,2024-07,110,0,0,0.9703085904920767,balanced
C_301,Gastroenterology,500,2024-07,2024-08,110,0,0,0.9671888736108919,balanced
C_301,Gastroenterology,500,2024-08,2024-09,110,0,0,0.9783964114239343,balanced
C_301,Gastroenterology,500,2024-09,2024-10,110,0,0,0.9701462930820729,balanced
C_301,Gastroenterology,500,2024-10,2024-11,110,0,0,0.9742848770371706,balanced
C_301,Gastroenterology,500,2024-11,2024-12,110,0,0,0.9771611478033497,balanced
C_301,Gastroenterology,500,2024-12,2025-01,110,0,0,0.9753217771566395,balanced
C_301,Gastroenterology,500,2025-01,2025-02,110,0,0,0.9783964114239343,balanced
C_301,Gastroenterology,500,2025-02,2025-03,110,0,0,0.9772603295539076,balanced
C_301,Gastroenterology,500,2025-03,2025-04,110,0,0,0.9720848454793409,balanced
C_301,Gastroenterology,500,2025-04,2025-05,110,0,0,0.9695331695331695,balanced
C_301,Gastroenterology,500,2025-05,2025-06,110,0,0,0.9637625949552555,balanced
C_301,Gastroenterology,500,2025-06,2025-07,110,0,0,0.978802154948944,balanced
C_301,Gastroenterology,500,2025-07,2025-08,110,0,0,0.966215089150869,balanced
C_301,Gastroenterology,500,2025-08,2025-09,110,0,0,0.9827333588801479,balanced
C_301,Gastroenterology,500,2025-09,2025-10,110,0,0,0.9788201879944999,balanced
C_301,Gastroenterology,500,2025-10,2025-11,110,0,0,0.9804702116628722,balanced
C_301,Gastroenterology,500,2025-11,2025-12,110,0,0,0.9765390077316684,balanced
C_301,Gastroenterology,500,2025-12,2026-01,110,0,0,0.9830579537001555,balanced
C_301,Gastroenterology,500,2026-01,2026-02,110,0,0,0.9742307779005026,balanced
C_301,Gastroenterology,500,2026-02,2026-03,110,0,0,0.9357482586840384,balanced
C_301,Gastroenterology,500,2026-03,2026-04,110,0,0,0.9710389288370941,balanced
C_301,Gastroenterology,500,2026-04,2026-05,110,0,0,0.9801636498884205,balanced
C_130,Ophthalmology,500,2024-01,2024-02,110,0,0,0.9887654126186235,balanced
C_130,Ophthalmology,500,2024-02,2024-03,110,0,0,0.9833194328607173,balanced
C_130,Ophthalmology,500,2024-03,2024-04,110,0,0,0.9870522732908054,balanced
C_130,Ophthalmology,500,2024-04,2024-05,110,0,0,0.9880981899330522,balanced
C_130,Ophthalmology,500,2024-05,2024-06,110,0,0,0.9848973243468656,balanced
C_130,Ophthalmology,500,2024-06,2024-07,110,0,0,0.9809931699839957,balanced
C_130,Ophthalmology,500,2024-07,2024-08,110,0,0,0.9828776232445957,balanced
C_130,Ophthalmology,500,2024-08,2024-09,110,0,0,0.9819399048756846,balanced
C_130,Ophthalmology,500,2024-09,2024-10,110,0,0,0.981570227441787,balanced
C_130,Ophthalmology,500,2024-10,2024-11,110,0,0,0.9784054279467123,balanced
C_130,Ophthalmology,500,2024-11,2024-12,110,0,0,0.9770349164844578,balanced
C_130,Ophthalmology,500,2024-12,2025-01,110,0,0,0.9704799044248587,balanced
C_130,Ophthalmology,500,2025-01,2025-02,110,0,0,0.9838784572729528,balanced
C_130,Ophthalmology,500,2025-02,2025-03,110,0,0,0.9895949327141987,balanced
C_130,Ophthalmology,500,2025-03,2025-04,110,0,0,0.9836891102946148,balanced
C_130,Ophthalmology,500,2025-04,2025-05,110,0,0,0.9793972454522913,balanced
C_130,Ophthalmology,500,2025-05,2025-06,110,0,0,0.9842210851385164,balanced
C_130,Ophthalmology,500,2025-06,2025-07,110,0,0,0.9802267655478665,balanced
C_130,Ophthalmology,500,2025-07,2025-08,110,0,0,0.9819849874895745,balanced
C_130,Ophthalmology,500,2025-08,2025-09,110,0,0,0.9717151680454433,balanced
C_130,Ophthalmology,500,2025-09,2025-10,110,0,0,0.9841489529562925,balanced
C_130,Ophthalmology,500,2025-10,2025-11,110,0,0,0.980713657777878,balanced
C_130,Ophthalmology,500,2025-11,2025-12,110,0,0,0.9834186146112752,balanced
C_130,Ophthalmology,500,2025-12,2026-01,110,0,0,0.9763496607533304,balanced
C_130,Ophthalmology,500,2026-01,2026-02,110,0,0,0.9760340824561008,balanced
C_130,Ophthalmology,500,2026-02,2026-03,110,0,0,0.9636814462502535,balanced
C_130,Ophthalmology,500,2026-03,2026-04,110,0,0,0.9882875369113902,balanced
C_130,Ophthalmology,500,2026-04,2026-05,110,0,0,0.9889096769830715,balanced
C_120,"Ear, Nose and Throat",500,2024-01,2024-02,114,0,0,0.980267714303072,balanced
C_120,"Ear, Nose and Throat",500,2024-02,2024-03,114,0,0,0.9846418663048544,balanced
C_120,"Ear, Nose and Throat",500,2024-03,2024-04,114,0,0,0.9758530608938661,balanced
C_120,"Ear, Nose and Throat",500,2024-04,2024-05,114,0,0,0.9805593244365242,balanced
C_120,"Ear, Nose and Throat",500,2024-05,2024-06,114,0,0,0.9833620218302588,balanced
C_120,"Ear, Nose and Throat",500,2024-06,2024-07,114,0,0,0.9771248050869769,balanced
C_120,"Ear, Nose and Throat",500,2024-07,2024-08,114,0,0,0.9643506611854763,balanced
C_120,"Ear, Nose and Throat",500,2024-08,2024-09,114,0,0,0.9737550879893078,balanced
C_120,"Ear, Nose and Throat",500,2024-09,2024-10,114,0,0,0.9858650088090563,balanced
C_120,"Ear, Nose and Throat",500,2024-10,2024-11,114,0,0,0.9740304975597903,balanced
C_120,"Ear, Nose and Throat",500,2024-11,2024-12,114,0,0,0.9778862315465463,balanced
C_120,"Ear, Nose and Throat",500,2024-12,2025-01,114,0,0,0.9801057086733767,balanced
C_120,"Ear, Nose and Throat",500,2025-01,2025-02,114,0,0,0.9787934630728418,balanced
C_120,"Ear, Nose and Throat",500,2025-02,2025-03,114,0,0,0.97978979769547,balanced
C_120,"Ear, Nose and Throat",500,2025-03,2025-04,114,0,0,0.9829651080375045,balanced
C_120,"Ear, Nose and Throat",500,2025-04,2025-05,114,0,0,0.9748486259897532,balanced
C_120,"Ear, Nose and Throat",500,2025-05,2025-06,114,0,0,0.9656224053785869,balanced
C_120,"Ear, Nose and Throat",500,2025-06,2025-07,114,0,0,0.9684899050241997,balanced
C_120,"Ear, Nose and Throat",500,2025-07,2025-08,114,0,0,0.9841072477268585,balanced
C_120,"Ear, Nose and Throat",500,2025-08,2025-09,114,0,0,0.9616127660436202,balanced
C_120,"Ear, Nose and Throat",500,2025-09,2025-10,114,0,0,0.9630060144590025,balanced
C_120,"Ear, Nose and Throat",500,2025-10,2025-11,114,0,0,0.9631275186812742,balanced
C_120,"Ear, Nose and Throat",500,2025-11,2025-12,114,0,0,0.9449909884368483,balanced
C_120,"Ear, Nose and Throat",500,2025-12,2026-01,114,0,0,0.9667402442234868,balanced
C_120,"Ear, Nose and Throat",500,2026-01,2026-02,114,0,0,0.9450152892813026,balanced
C_120,"Ear, Nose and Throat",500,2026-02,2026-03,114,0,0,0.9121767481419981,balanced
C_120,"Ear, Nose and Throat",500,2026-03,2026-04,114,0,0,0.9745570158563013,balanced
C_120,"Ear, Nose and Throat",500,2026-04,2026-05,114,0,0,0.9668941495716977,balanced
C_110,Trauma and Orthopaedics,500,2024-01,2024-02,191,0,0,0.9851009231193165,balanced
C_110,Trauma and Orthopaedics,500,2024-02,2024-03,191,0,0,0.9831341278589143,balanced
C_110,Trauma and Orthopaedics,500,2024-03,2024-04,191,0,0,0.981876894461284,balanced
C_110,Trauma and Orthopaedics,500,2024-04,2024-05,191,0,0,0.9882922292642601,balanced
C_110,Trauma and Orthopaedics,500,2024-05,2024-06,191,0,0,0.9875792229264259,balanced
C_110,Trauma and Orthopaedics,500,2024-06,2024-07,191,0,0,0.9877027881746868,balanced
C_110,Trauma and Orthopaedics,500,2024-07,2024-08,191,0,0,0.9792638206393082,balanced
C_110,Trauma and Orthopaedics,500,2024-08,2024-09,191,0,0,0.9899283549187103,balanced
C_110,Trauma and Orthopaedics,500,2024-09,2024-10,191,0,0,0.9892773491319923,balanced
C_110,Trauma and Orthopaedics,500,2024-10,2024-11,191,0,0,0.987663612565445,balanced
