specialty_code,specialty,provider_code,from_period,to_period,from_total,to_total,relative_change,material_event,opposite_siblings,sibling_details,opposite_material_sibling
C_301,Gastroenterology,8KL73,2024-05,2024-06,0.0,70.0,inf,False,,,False
C_301,Gastroenterology,8KL73,2024-08,2024-09,51.0,0.0,-1.0,False,,,False
C_301,Gastroenterology,AAV,2024-07,2024-08,0.0,573.0,inf,True,C_130,C_130 3274->3177 (-3.0%),False
C_301,Gastroenterology,ADP02,2025-08,2025-09,0.0,1.0,inf,False,X02,X02 228->222 (-2.6%),False
C_301,Gastroenterology,ADP02,2025-09,2025-10,1.0,0.0,-1.0,False,C_110|C_120|C_502,C_110 878->915 (+4.2%); C_120 17->27 (+58.8%); C_502 139->147 (+5.8%),False
C_301,Gastroenterology,ADP02,2025-10,2025-11,0.0,2.0,inf,False,C_100|C_101|C_110|C_120,C_100 52->49 (-5.8%); C_101 25->24 (-4.0%); C_110 915->911 (-0.4%); C_120 27->26 (-3.7%),False
C_301,Gastroenterology,ADP02,2025-11,2025-12,2.0,8.0,3.0,False,,,False
C_301,Gastroenterology,ADP02,2026-04,2026-05,3.0,6.0,1.0,False,C_110|C_120|X02,C_110 839->800 (-4.6%); C_120 23->15 (-34.8%); X02 283->272 (-3.9%),False
C_301,Gastroenterology,AJ8,2024-05,2024-06,151.0,245.0,0.6225165562913907,False,,,False
C_301,Gastroenterology,AJ8,2025-02,2025-03,72.0,167.0,1.3194444444444444,False,,,False
C_301,Gastroenterology,AJ8,2025-07,2025-08,183.0,295.0,0.6120218579234973,False,,,False
C_301,Gastroenterology,AJ8,2026-01,2026-02,311.0,133.0,-0.572347266881029,False,,,False
C_301,Gastroenterology,AJ8,2026-02,2026-03,133.0,237.0,0.7819548872180451,False,,,False
C_301,Gastroenterology,AWR,2025-06,2025-07,0.0,4.0,inf,False,,,False
C_301,Gastroenterology,AWR,2025-07,2025-08,4.0,8.0,1.0,False,,,False
C_301,Gastroenterology,AY1,2024-01,2024-02,367.0,1425.0,2.88283378746594,True,C_100,C_100 75->69 (-8.0%),False
C_301,Gastroenterology,AY1,2025-03,2025-04,2020.0,961.0,-0.5242574257425743,True,,,False
C_301,Gastroenterology,AY1,2025-04,2025-05,961.0,472.0,-0.5088449531737773,True,,,False
C_301,Gastroenterology,B3M1X,2025-10,2025-11,0.0,1.0,inf,False,C_130|C_150|C_502,C_130 18->12 (-33.3%); C_150 350->328 (-6.3%); C_502 152->144 (-5.3%),False
C_301,Gastroenterology,F9Z4V,2024-05,2024-06,11.0,5.0,-0.5454545454545454,False,C_110|C_120|C_130,C_110 967->999 (+3.3%); C_120 26->27 (+3.8%); C_130 87->93 (+6.9%),False
