code,name,subset,months,last_period,latest_p50,latest_p92,latest_gap,min_p92,max_p92,median_improvement,middle_largest_months
C_100,General surgery,all_months,29,2026-05,13.260616042,40.8737657046,22.8737657046,39.8965914012,47.3433642195,2.53469155986,0
C_100,General surgery,exclude_first_release,23,2026-03,12.0841108857,39.8965914012,21.8965914012,39.8965914012,47.3433642195,3.71119671615,0
C_110,Trauma and orthopaedics,all_months,29,2026-05,14.1108450704,41.8352372035,23.8352372035,40.9104412183,47.4510968715,2.03875519766,0
C_110,Trauma and orthopaedics,exclude_first_release,23,2026-03,14.4561094058,40.9104412183,22.9104412183,40.9104412183,47.4510968715,1.6934908623,0
C_120,ENT,all_months,29,2026-05,14.7580394036,41.626389012,23.626389012,41.6127972028,50.4467507189,4.07482167476,0
C_120,ENT,exclude_first_release,23,2026-03,14.5607317737,41.6127972028,23.6127972028,41.6127972028,50.4467507189,4.27212930465,0
C_130,Ophthalmology,all_months,29,2026-05,10.2063224761,33.4115369857,15.4115369857,33.2587080343,40.5795094863,2.40693564964,0
C_130,Ophthalmology,exclude_first_release,23,2026-03,9.08691827588,33.3524007387,15.3524007387,33.3524007387,40.5795094863,3.52633984989,0
C_301,Gastroenterology,all_months,29,2026-05,11.7718113292,36.1127627302,18.1127627302,35.7122958828,44.2008196063,2.36183499318,0
C_301,Gastroenterology,exclude_first_release,23,2026-03,10.4294341056,35.7122958828,17.7122958828,35.7122958828,44.2008196063,3.7042122168,0
C_320,Cardiology,all_months,29,2026-05,12.1298895957,35.5178858075,17.5178858075,35.4386876465,41.8229140893,1.98401183397,0
C_320,Cardiology,exclude_first_release,23,2026-03,10.6830913998,35.4386876465,17.4386876465,35.4386876465,41.8229140893,3.43081002984,0
C_400,Neurology,all_months,29,2026-05,14.0042365554,38.9454504757,20.9454504757,38.5682476506,45.8890455213,2.47848577399,0
C_400,Neurology,exclude_first_release,23,2026-03,13.7581503659,38.5682476506,20.5682476506,38.5682476506,45.8890455213,2.72457196348,0
C_999,"England, all specialties",all_months,29,2026-05,12.4228168014,38.5686655224,20.5686655224,38.3399138115,45.2683845915,2.6167560497,0
C_999,"England, all specialties",exclude_first_release,23,2026-03,11.3291372209,38.3399138115,20.3399138115,38.3399138115,45.2683845915,3.71043563016,0
