period,kind,source_file,rows,bands,expected_bands,duplicate_pooled_keys,negative_cells,nonfinite_cells,fractional_cells,schema_matches
2019-02,baseline,201902-RTT-February2019-incomplete-pathways.csv,3873,53,53,0,0,0,0,True
2024-01,monthly,202401-RTT-January2024-incomplete-pathways.csv,4109,105,105,0,0,0,0,True
2024-02,monthly,202402-RTT-February2024-incomplete-pathways.csv,4048,105,105,0,0,0,0,True
2024-03,monthly,202403-RTT-March2024-incomplete-pathways.csv,4039,105,105,0,0,0,0,True
2024-04,monthly,202404-RTT-April2024-incomplete-pathways.csv,4029,105,105,0,0,0,0,True
2024-05,monthly,202405-RTT-May2024-incomplete-pathways.csv,4041,105,105,0,0,0,0,True
2024-06,monthly,202406-RTT-June2024-incomplete-pathways.csv,4047,105,105,0,0,0,0,True
2024-07,monthly,202407-RTT-July2024-incomplete-pathways.csv,4053,105,105,0,0,0,0,True
2024-08,monthly,202408-RTT-August2024-incomplete-pathways.csv,4067,105,105,0,0,0,0,True
2024-09,monthly,202409-RTT-September2024-incomplete-pathways.csv,4083,105,105,0,0,0,0,True
2024-10,monthly,202410-RTT-October2024-incomplete-pathways.csv,4086,105,105,0,0,0,0,True
2024-11,monthly,202411-RTT-November2024-incomplete-pathways.csv,4091,105,105,0,0,0,0,True
2024-12,monthly,202412-RTT-December2024-incomplete-pathways.csv,4078,105,105,0,0,0,0,True
2025-01,monthly,202501-RTT-January2025-incomplete-pathways.csv,4075,105,105,0,0,0,0,True
2025-02,monthly,202502-RTT-February2025-incomplete-pathways.csv,4076,105,105,0,0,0,0,True
2025-02,full,20250228-RTT-February-2025-full-extract-revised.csv,7144,105,105,0,0,0,0,True
2025-03,monthly,202503-RTT-March2025-incomplete-pathways.csv,4067,105,105,0,0,0,0,True
2025-04,monthly,202504-RTT-April2025-incomplete-pathways.csv,4083,105,105,0,0,0,0,True
2025-05,monthly,202505-RTT-May2025-incomplete-pathways.csv,4071,105,105,0,0,0,0,True
2025-06,monthly,202506-RTT-June2025-incomplete-pathways.csv,4087,105,105,0,0,0,0,True
2025-07,monthly,202507-RTT-July2025-incomplete-pathways.csv,4075,105,105,0,0,0,0,True
2025-08,monthly,202508-RTT-August2025-incomplete-pathways.csv,4070,105,105,0,0,0,0,True
2025-09,monthly,202509-RTT-September2025-incomplete-pathways.csv,4076,105,105,0,0,0,0,True
2025-10,monthly,202510-RTT-October2025-incomplete-pathways.csv,4073,105,105,0,0,0,0,True
2025-11,monthly,202511-RTT-November2025-incomplete-pathways.csv,4092,105,105,0,0,0,0,True
2025-12,monthly,202512-RTT-December2025-incomplete-pathways.csv,4097,105,105,0,0,0,0,True
2026-01,monthly,202601-RTT-January2026-incomplete-pathways.csv,4112,105,105,0,0,0,0,True
2026-02,monthly,202602-RTT-February2026-incomplete-pathways.csv,4111,105,105,0,0,0,0,True
2026-03,monthly,202603-RTT-March2026-incomplete-pathways.csv,4167,105,105,0,0,0,0,True
2026-04,monthly,202604-RTT-April2026-incomplete-pathways.csv,4121,105,105,0,0,0,0,True
2026-04,full,20260430-RTT-April-2026-full-extract.csv,7235,105,105,0,0,0,0,True
2026-05,monthly,202605-RTT-May2026-incomplete-pathways.csv,4125,105,105,0,0,0,0,True
