candidate_id,previous_period,period,provider,provider_name,code_a,code_b,before_a,after_a,change_a,before_b,after_b,change_b,absolute_change_ratio,paired_net_change,target_code,target_change_share_national_pct,classification,disposition,evidence_file,author_disposition,event,adjacent_total,cause,source_file,official_evidence_url,name_before,name_after
RC001,2025-09,2025-10,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,C_100,X05,14084.0,7515.0,-6569.0,173.0,9376.0,9203.0,0.7137889818537434,2634.0,C_100,1.6779354930994934,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC002,2025-08,2025-09,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_100,X05,6709.0,2499.0,-4210.0,2066.0,6099.0,4033.0,0.957957244655582,-177.0,C_100,1.0692606608589643,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC003,2024-08,2024-09,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,C_100,X05,5181.0,1493.0,-3688.0,352.0,4072.0,3720.0,0.9913978494623656,32.0,C_100,0.8912410434866664,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC004,2025-09,2025-10,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_100,X05,2499.0,5245.0,2746.0,6099.0,3716.0,-2383.0,0.8678077203204662,363.0,C_100,0.7014173944361712,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC005,2024-01,2024-02,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,C_301,X05,0.0,2574.0,2574.0,2299.0,476.0,-1823.0,0.7082362082362083,751.0,C_301,0.6592393392239724,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC006,2024-01,2024-02,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,C_300,C_301,4242.0,70.0,-4172.0,0.0,2574.0,2574.0,0.6169702780441035,-1598.0,C_301,0.6592393392239724,"known RJL recoding, verified pattern",caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC007,2024-02,2024-03,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,C_120,X05,12902.0,15916.0,3014.0,7774.0,2742.0,-5032.0,0.598966613672496,-2018.0,C_120,0.4714052223690693,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC008,2024-12,2025-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,C_300,C_400,616.0,10.0,-606.0,983.0,2027.0,1044.0,0.5804597701149425,438.0,C_400,0.4480975170075327,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC009,2025-05,2025-06,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_400,X04,3266.0,4211.0,945.0,1875.0,475.0,-1400.0,0.675,-455.0,C_400,0.4245569108430487,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC010,2025-06,2025-07,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,C_301,2862.0,1460.0,-1402.0,207.0,1178.0,971.0,0.6925820256776034,-431.0,C_100,0.3548289127353715,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC011,2025-06,2025-07,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,C_340,2862.0,1460.0,-1402.0,10.0,916.0,906.0,0.6462196861626248,-496.0,C_100,0.3548289127353715,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC012,2025-06,2025-07,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,X05,2862.0,1460.0,-1402.0,544.0,1321.0,777.0,0.5542082738944365,-625.0,C_100,0.3548289127353715,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
