period,code,common_provider_count,total,p50,p92,middle_count,middle_share
2024-01,C_100,418,420319,15.794583622140806,47.36727011494254,166655,0.3964964705378534
2024-01,C_110,418,809079,16.46576753064095,47.78601080246914,328651,0.4062038441239978
2024-01,C_120,418,612554,18.860643921191734,49.56610064287299,278551,0.4547370517538046
2024-01,C_130,418,595132,12.702501421262081,40.380658834369974,204267,0.3432297372683707
2024-01,C_301,418,375545,14.248602451085787,44.40634920634922,139754,0.3721364949606572
2024-01,C_320,418,389168,14.18207202002696,41.244,146857,0.37736144801216953
2024-01,C_400,418,222745,16.45947160316319,43.34577777777779,96653,0.43391770859054074
2024-01,C_999,418,7343935,15.128677028873897,45.304698013297774,2858252,0.3891989784767975
2026-05,C_100,418,380600,13.26755912539045,40.88413183826028,134954,0.3545822385706779
2026-05,C_110,418,822832,14.118797845194216,41.82717916535928,310480,0.3773309740019834
2026-05,C_120,418,588576,14.777643431473308,41.632176258992814,229422,0.3897916326863481
2026-05,C_130,418,597920,10.393542012844119,33.79113406498817,154356,0.25815493711533316
2026-05,C_301,418,369362,11.791952821737832,36.130166305133784,111224,0.3011246419501735
2026-05,C_320,418,377789,12.135899882560189,35.529487765089726,117065,0.30986873625224665
2026-05,C_400,418,206973,14.016017316017315,38.96645739910314,78480,0.3791798930295256
2026-05,C_999,418,7100927,12.45769207279834,38.59116547691645,2350992,0.33108240656466403
