previous_period,period,provider,provider_name,before,after,difference,same_provider
2024-01,2024-02,A0C5S,SPAMEDICA GLOUCESTER,66,81,15,True
2024-01,2024-02,A4M8P,BUCKSHAW HOSPITAL,3778,3785,7,True
2024-01,2024-02,A4Q9X,NEWMEDICA LEICESTER,163,184,21,True
2024-01,2024-02,AAH,TETBURY HOSPITAL TRUST LTD,316,343,27,True
2024-01,2024-02,AAV,COMMUNITY HEALTH AND EYECARE LIMITED,2703,2842,139,True
2024-01,2024-02,ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),54,0,-54,False
2024-01,2024-02,ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,6,9,3,True
2024-01,2024-02,ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,336,314,-22,True
2024-01,2024-02,ACG13,NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE),232,193,-39,True
2024-01,2024-02,ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,559,546,-13,True
2024-01,2024-02,ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,363,294,-69,True
2024-01,2024-02,ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,180,227,47,True
2024-01,2024-02,ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,527,484,-43,True
2024-01,2024-02,ACG26,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,465,496,31,True
2024-01,2024-02,ACG30,NEWMEDICA - WORKSOP - DUKERIES,71,72,1,True
2024-01,2024-02,ACG31,NEWMEDICA - WORCESTER,711,870,159,True
2024-01,2024-02,ACG36,NEWMEDICA - EXETER - GLEN HOUSE,190,241,51,True
2024-01,2024-02,ACG37,NEWMEDICA - IPSWICH,2031,2067,36,True
2024-01,2024-02,ACG38,NEWMEDICA - LANGFORD,289,237,-52,True
2024-01,2024-02,ACG39,NEWMEDICA - SWINDON,345,278,-67,True
2024-01,2024-02,ACG40,NEWMEDICA - WAKEFIELD,671,671,0,True
2024-01,2024-02,ACM,EYE CARE MEDICAL LTD,3,8,5,True
2024-01,2024-02,ADN,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,2920,1990,-930,True
2024-01,2024-02,ADP02,KIMS HOSPITAL (NEWNHAM COURT),1488,1561,73,True
2024-01,2024-02,AHP,ST MICHAEL'S CLINIC LIMITED,1646,1664,18,True
2024-01,2024-02,AJ8,THE GRANGE MEDICAL CENTRE HQ,147,191,44,True
