candidate_id,period,previous_period,provider,provider_name,event,adjacent_total,classification,cause,disposition,source_file,official_evidence_url
PE001,2024-02,2024-01,ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),disappears,54,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE002,2024-02,2024-01,DLG,MAYFLOWER HEALTHCARE ALLIANCE,disappears,1096,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE003,2024-02,2024-01,J2H6H,SPAMEDICA COLCHESTER,appears,74,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202402-RTT-February2024-incomplete-pathways.csv,
PE004,2024-02,2024-01,NLF06,OLDHAM INTEGRATED CARE CENTRE,disappears,2822,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE005,2024-02,2024-01,NNF,CITY HEALTH CARE PARTNERSHIP CIC,disappears,1910,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE006,2024-02,2024-01,NQA,PROVIDE,disappears,2811,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE007,2024-02,2024-01,NQTF7,VCL WILTSHIRE CHILDRENS SERVICES,disappears,1367,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE008,2024-02,2024-01,NQV,BROMLEY HEALTHCARE,disappears,1359,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE009,2024-02,2024-01,NR3,NOTTINGHAM CITYCARE PARTNERSHIP,disappears,724,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE010,2024-02,2024-01,NT445,EDGBASTON HOSPITAL,appears,3,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202402-RTT-February2024-incomplete-pathways.csv,
PE011,2024-02,2024-01,NVC0M,WEST VALLEY HOSPITAL,disappears,1,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE012,2024-02,2024-01,NYR,HEALTHSHARE DIAGNOSTICS,appears,285,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202402-RTT-February2024-incomplete-pathways.csv,
PE013,2024-02,2024-01,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,disappears,2477,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
