period,provider,provider_name,code,total,source_file
2024-01,A0C5S,SPAMEDICA GLOUCESTER,C_130,66,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A0C5S,SPAMEDICA GLOUCESTER,C_999,66,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,C_100,1276,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,C_101,735,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,C_110,539,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,C_120,595,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,C_160,1,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,C_301,12,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,C_502,490,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,C_999,3778,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,X02,122,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,X03,1,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4M8P,BUCKSHAW HOSPITAL,X06,7,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4Q9X,NEWMEDICA LEICESTER,C_130,163,202401-RTT-January2024-incomplete-pathways.csv
2024-01,A4Q9X,NEWMEDICA LEICESTER,C_999,163,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,C_100,107,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,C_101,26,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,C_110,26,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,C_120,10,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,C_130,99,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,C_140,19,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,C_340,2,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,C_502,18,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,C_999,316,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAH,TETBURY HOSPITAL TRUST LTD,X06,9,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAV,COMMUNITY HEALTH AND EYECARE LIMITED,C_130,2703,202401-RTT-January2024-incomplete-pathways.csv
2024-01,AAV,COMMUNITY HEALTH AND EYECARE LIMITED,C_999,2703,202401-RTT-January2024-incomplete-pathways.csv
2024-01,ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),C_130,54,202401-RTT-January2024-incomplete-pathways.csv
2024-01,ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),C_999,54,202401-RTT-January2024-incomplete-pathways.csv
2024-01,ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,C_130,6,202401-RTT-January2024-incomplete-pathways.csv
2024-01,ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,C_999,6,202401-RTT-January2024-incomplete-pathways.csv
