candidate_id,previous_period,period,provider,provider_name,code_a,code_b,before_a,after_a,change_a,before_b,after_b,change_b,absolute_change_ratio,paired_net_change,target_code,target_change_share_national_pct,classification,disposition
RC001,2025-09,2025-10,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,C_100,X05,14084,7515,-6569,173,9376,9203,0.7137889818537434,2634,C_100,1.6779354930994934,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC002,2025-08,2025-09,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_100,X05,6709,2499,-4210,2066,6099,4033,0.957957244655582,-177,C_100,1.0692606608589643,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC003,2024-08,2024-09,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,C_100,X05,5181,1493,-3688,352,4072,3720,0.9913978494623656,32,C_100,0.8912410434866664,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC004,2025-09,2025-10,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_100,X05,2499,5245,2746,6099,3716,-2383,0.8678077203204662,363,C_100,0.7014173944361712,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC005,2024-01,2024-02,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,C_301,X05,0,2574,2574,2299,476,-1823,0.7082362082362083,751,C_301,0.6592393392239724,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC006,2024-01,2024-02,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,C_300,C_301,4242,70,-4172,0,2574,2574,0.6169702780441035,-1598,C_301,0.6592393392239724,"known RJL recoding, verified pattern",caveat; preserve reported codes
RC007,2024-02,2024-03,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,C_120,X05,12902,15916,3014,7774,2742,-5032,0.598966613672496,-2018,C_120,0.4714052223690693,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC008,2024-12,2025-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,C_300,C_400,616,10,-606,983,2027,1044,0.5804597701149425,438,C_400,0.4480975170075327,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC009,2025-05,2025-06,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_400,X04,3266,4211,945,1875,475,-1400,0.675,-455,C_400,0.4245569108430487,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC010,2025-06,2025-07,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,C_301,2862,1460,-1402,207,1178,971,0.6925820256776034,-431,C_100,0.3548289127353715,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC011,2025-06,2025-07,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,C_340,2862,1460,-1402,10,916,906,0.6462196861626248,-496,C_100,0.3548289127353715,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC012,2025-06,2025-07,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,X05,2862,1460,-1402,544,1321,777,0.5542082738944365,-625,C_100,0.3548289127353715,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC013,2025-06,2025-07,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,C_320,2862,1460,-1402,327,1255,928,0.6619115549215406,-474,C_100,0.3548289127353715,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC014,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_120,C_140,4590,2527,-2063,2023,4021,1998,0.9684924866698982,-65,C_120,0.3257694190471679,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC015,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_101,C_120,976,2038,1062,4590,2527,-2063,0.5147842947164324,-1001,C_120,0.3257694190471679,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC016,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_330,C_400,4771,3837,-934,401,1130,729,0.7805139186295503,-205,C_400,0.3107907044162975,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC017,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_340,C_400,1467,923,-544,401,1130,729,0.7462277091906722,185,C_400,0.3107907044162975,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC018,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_140,C_301,2023,4021,1998,4911,3756,-1155,0.5780780780780781,843,C_301,0.2940367813282825,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC019,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_301,C_400,4911,3756,-1155,401,1130,729,0.6311688311688312,-426,C_301,0.2940367813282825,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC020,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_101,C_301,976,2038,1062,4911,3756,-1155,0.9194805194805196,-93,C_301,0.2940367813282825,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC021,2025-01,2025-02,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,C_320,2021,3202,1181,1185,247,-938,0.79424216765453,243,C_100,0.2897164164458836,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC022,2025-11,2025-12,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,X05,7170,5011,-2159,0,2105,2105,0.9749884205650764,-54,C_110,0.255697833615205,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC023,2025-05,2025-06,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_120,C_301,2873,4408,1535,3535,2013,-1522,0.9915309446254073,13,C_120,0.2413825638445087,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC024,2024-06,2024-07,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,X06,11158,12118,960,1107,118,-989,0.9706774519716884,-29,C_320,0.2297398196542415,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC025,2024-05,2024-06,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,C_100,X05,564,1500,936,3784,3195,-589,0.6292735042735043,347,C_100,0.2208964241211343,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC026,2024-04,2024-05,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,C_100,X05,1421,564,-857,3323,3784,461,0.5379229871645275,-396,C_100,0.2024688441320654,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
