period,kind,source_file,retained_raw_rows,raw_blank_cells,raw_rows_with_blanks,certified_blank_cells,unresolved_blank_rows,raw_duplicate_keys,total_unexplained,total_all_unexplained,unknown_clock_positive_rows,unknown_clock_sum
2019-02,baseline,201902-RTT-February2019-incomplete-pathways.csv,64689,0,0,0,0,0,0,0,0,0.0
2024-01,monthly,202401-RTT-January2024-incomplete-pathways.csv,65423,1027783,12134,1027783,0,0,0,0,0,0.0
2024-02,monthly,202402-RTT-February2024-incomplete-pathways.csv,64766,1003647,11840,1003647,0,0,0,0,0,0.0
2024-03,monthly,202403-RTT-March2024-incomplete-pathways.csv,64590,1001217,11268,1001217,0,0,0,0,0,0.0
2024-04,monthly,202404-RTT-April2024-incomplete-pathways.csv,64480,995740,11167,995740,0,0,0,0,0,0.0
2024-05,monthly,202405-RTT-May2024-incomplete-pathways.csv,64324,1063397,11882,1063397,0,0,0,0,0,0.0
2024-06,monthly,202406-RTT-June2024-incomplete-pathways.csv,64714,1011216,11335,1011216,0,0,0,0,0,0.0
2024-07,monthly,202407-RTT-July2024-incomplete-pathways.csv,64931,1048244,11707,1048244,0,0,0,0,0,0.0
2024-08,monthly,202408-RTT-August2024-incomplete-pathways.csv,65407,992935,11741,992935,0,0,0,0,0,0.0
2024-09,monthly,202409-RTT-September2024-incomplete-pathways.csv,65739,971526,11503,971526,0,0,0,0,0,0.0
2024-10,monthly,202410-RTT-October2024-incomplete-pathways.csv,66130,973236,10910,973236,0,0,0,0,0,0.0
2024-11,monthly,202411-RTT-November2024-incomplete-pathways.csv,65887,973325,10913,973325,0,0,0,0,0,0.0
2024-12,monthly,202412-RTT-December2024-incomplete-pathways.csv,66152,1056313,11750,1056313,0,0,0,0,0,0.0
2025-01,monthly,202501-RTT-January2025-incomplete-pathways.csv,65531,968563,11507,968563,0,0,0,0,0,0.0
2025-02,monthly,202502-RTT-February2025-incomplete-pathways.csv,65106,956356,10311,956356,0,0,0,0,0,0.0
2025-02,full,20250228-RTT-February-2025-full-extract-revised.csv,50407,726993,7832,726993,0,0,0,0,289,1390.0
2025-03,monthly,202503-RTT-March2025-incomplete-pathways.csv,64776,949476,10879,949476,0,0,0,0,0,0.0
2025-04,monthly,202504-RTT-April2025-incomplete-pathways.csv,64607,954511,10927,954511,0,0,0,0,0,0.0
2025-05,monthly,202505-RTT-May2025-incomplete-pathways.csv,64298,948149,10834,948149,0,0,0,0,0,0.0
2025-06,monthly,202506-RTT-June2025-incomplete-pathways.csv,64059,954899,10888,954899,0,0,0,0,0,0.0
2025-07,monthly,202507-RTT-July2025-incomplete-pathways.csv,63264,864972,9968,864972,0,0,0,0,0,0.0
2025-08,monthly,202508-RTT-August2025-incomplete-pathways.csv,63438,869475,10596,869475,0,0,0,0,0,0.0
2025-09,monthly,202509-RTT-September2025-incomplete-pathways.csv,63952,881101,10803,881101,0,0,0,0,0,0.0
2025-10,monthly,202510-RTT-October2025-incomplete-pathways.csv,64275,879860,9626,879860,0,0,0,0,0,0.0
2025-11,monthly,202511-RTT-November2025-incomplete-pathways.csv,63512,873883,10045,873883,0,0,0,0,0,0.0
2025-12,monthly,202512-RTT-December2025-incomplete-pathways.csv,64110,858075,9256,858075,0,0,0,0,0,0.0
2026-01,monthly,202601-RTT-January2026-incomplete-pathways.csv,63841,851223,9184,851223,0,0,0,0,0,0.0
2026-02,monthly,202602-RTT-February2026-incomplete-pathways.csv,63535,858351,9237,858351,0,0,0,0,0,0.0
2026-03,monthly,202603-RTT-March2026-incomplete-pathways.csv,62790,846390,9129,846390,0,0,0,0,0,0.0
2026-04,monthly,202604-RTT-April2026-incomplete-pathways.csv,62634,836301,8998,836301,0,0,0,0,0,0.0
2026-04,full,20260430-RTT-April-2026-full-extract.csv,49231,657003,7114,657003,0,0,0,0,263,1364.0
2026-05,monthly,202605-RTT-May2026-incomplete-pathways.csv,62300,867516,9344,867516,0,0,0,0,0,0.0
