period,part,kind,code,name,release,percentile,linear,lower_bound,midpoint,upper_bound,lower_minus_linear,midpoint_minus_linear
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,50,6.6915701827,6,6.5,7,-0.691570182701,-0.191570182701
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,75,13.4344227489,13,13.5,14,-0.434422748871,0.0655772511293
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,92,22.0644396493,22,22.5,23,-0.0644396492857,0.435560350714
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,95,26.0124455338,26,26.5,27,-0.0124455337691,0.487554466231
2019-02,Part_2,baseline,C_100,General surgery,revised-or-established,50,6.83375104428,6,6.5,7,-0.833751044277,-0.333751044277
2019-02,Part_2,baseline,C_100,General surgery,revised-or-established,75,14.1511335013,14,14.5,15,-0.151133501259,0.348866498741
2019-02,Part_2,baseline,C_100,General surgery,revised-or-established,92,24.5884361661,24,24.5,25,-0.588436166085,-0.0884361660846
2019-02,Part_2,baseline,C_100,General surgery,revised-or-established,95,29.2999410725,29,29.5,30,-0.299941072481,0.200058927519
2019-02,Part_2,baseline,C_110,Trauma and orthopaedics,revised-or-established,50,7.30079806125,7,7.5,8,-0.300798061254,0.199201938746
2019-02,Part_2,baseline,C_110,Trauma and orthopaedics,revised-or-established,75,14.6844947965,14,14.5,15,-0.68449479647,-0.18449479647
2019-02,Part_2,baseline,C_110,Trauma and orthopaedics,revised-or-established,92,24.7946458739,24,24.5,25,-0.794645873944,-0.294645873944
2019-02,Part_2,baseline,C_110,Trauma and orthopaedics,revised-or-established,95,29.1893733968,29,29.5,30,-0.189373396849,0.310626603151
2019-02,Part_2,baseline,C_120,ENT,revised-or-established,50,6.99987636768,6,6.5,7,-0.999876367683,-0.499876367683
2019-02,Part_2,baseline,C_120,ENT,revised-or-established,75,14.0832939509,14,14.5,15,-0.0832939508507,0.416706049149
2019-02,Part_2,baseline,C_120,ENT,revised-or-established,92,23.5995365169,23,23.5,24,-0.599536516854,-0.0995365168539
2019-02,Part_2,baseline,C_120,ENT,revised-or-established,95,28.0892367906,28,28.5,29,-0.0892367906066,0.410763209393
2019-02,Part_2,baseline,C_130,Ophthalmology,revised-or-established,50,6.88075429839,6,6.5,7,-0.880754298392,-0.380754298392
2019-02,Part_2,baseline,C_130,Ophthalmology,revised-or-established,75,13.8275508762,13,13.5,14,-0.827550876201,-0.327550876201
2019-02,Part_2,baseline,C_130,Ophthalmology,revised-or-established,92,22.140881295,22,22.5,23,-0.140881294964,0.359118705036
2019-02,Part_2,baseline,C_130,Ophthalmology,revised-or-established,95,25.5173720137,25,25.5,26,-0.517372013652,-0.0173720136519
2019-02,Part_2,baseline,C_301,Gastroenterology,revised-or-established,50,6.54440063091,6,6.5,7,-0.544400630915,-0.0444006309148
2019-02,Part_2,baseline,C_301,Gastroenterology,revised-or-established,75,12.9309355154,12,12.5,13,-0.930935515388,-0.430935515388
2019-02,Part_2,baseline,C_301,Gastroenterology,revised-or-established,92,20.8587401575,20,20.5,21,-0.85874015748,-0.35874015748
2019-02,Part_2,baseline,C_301,Gastroenterology,revised-or-established,95,24.5817862166,24,24.5,25,-0.581786216596,-0.0817862165963
2019-02,Part_2,baseline,C_320,Cardiology,revised-or-established,50,6.77374769643,6,6.5,7,-0.773747696432,-0.273747696432
2019-02,Part_2,baseline,C_320,Cardiology,revised-or-established,75,12.8220854922,12,12.5,13,-0.822085492228,-0.322085492228
2019-02,Part_2,baseline,C_320,Cardiology,revised-or-established,92,19.755131744,19,19.5,20,-0.75513174404,-0.25513174404
2019-02,Part_2,baseline,C_320,Cardiology,revised-or-established,95,23.1468796434,23,23.5,24,-0.146879643388,0.353120356612
2019-02,Part_2,baseline,C_400,Neurology,revised-or-established,50,7.59065113501,7,7.5,8,-0.590651135006,-0.090651135006
2019-02,Part_2,baseline,C_400,Neurology,revised-or-established,75,14.0949530516,14,14.5,15,-0.0949530516432,0.405046948357
2019-02,Part_2,baseline,C_400,Neurology,revised-or-established,92,22.1303276131,22,22.5,23,-0.130327613105,0.369672386895
2019-02,Part_2,baseline,C_400,Neurology,revised-or-established,95,25.6046223224,25,25.5,26,-0.604622322435,-0.104622322435
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,50,15.0395728511,15,15.5,16,-0.0395728510979,0.460427148902
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,75,28.5058518566,28,28.5,29,-0.505851856593,-0.00585185659294
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,92,45.2683845915,45,45.5,46,-0.268384591488,0.231615408512
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,95,50.3807723533,50,50.5,51,-0.380772353323,0.119227646677
2024-01,Part_2,monthly,C_100,General surgery,revised-or-established,50,15.7953076019,15,15.5,16,-0.795307601881,-0.295307601881
2024-01,Part_2,monthly,C_100,General surgery,revised-or-established,75,29.8323659254,29,29.5,30,-0.832365925441,-0.332365925441
2024-01,Part_2,monthly,C_100,General surgery,revised-or-established,92,47.3433642195,47,47.5,48,-0.34336421953,0.15663578047
2024-01,Part_2,monthly,C_100,General surgery,revised-or-established,95,52.7747614264,52,52.5,53,-0.774761426419,-0.274761426419
2024-01,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,50,16.1496002681,16,16.5,17,-0.149600268084,0.350399731916
2024-01,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,75,29.8394626298,29,29.5,30,-0.839462629785,-0.339462629785
2024-01,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,92,47.4510968715,47,47.5,48,-0.451096871466,0.0489031285337
2024-01,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,95,53.1949620039,53,53.5,54,-0.19496200394,0.30503799606
2024-01,Part_2,monthly,C_120,ENT,revised-or-established,50,18.8328610783,18,18.5,19,-0.832861078316,-0.332861078316
2024-01,Part_2,monthly,C_120,ENT,revised-or-established,75,33.8180106101,33,33.5,34,-0.81801061008,-0.31801061008
2024-01,Part_2,monthly,C_120,ENT,revised-or-established,92,49.5039317735,49,49.5,50,-0.503931773453,-0.00393177345287
2024-01,Part_2,monthly,C_120,ENT,revised-or-established,95,54.1273131127,54,54.5,55,-0.127313112745,0.372686887255
2024-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,50,12.6132581258,12,12.5,13,-0.613258125768,-0.113258125768
2024-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,75,24.5495407888,24,24.5,25,-0.549540788763,-0.0495407887628
2024-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,92,40.2708121711,40,40.5,41,-0.270812171128,0.229187828872
2024-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,95,45.5269279393,45,45.5,46,-0.526927939317,-0.0269279393173
2024-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,50,14.1336463224,14,14.5,15,-0.133646322379,0.366353677621
2024-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,75,27.2497226331,27,27.5,28,-0.249722633136,0.250277366864
2024-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,92,44.2008196063,44,44.5,45,-0.200819606268,0.299180393732
2024-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,95,49.2507786429,49,49.5,50,-0.250778642937,0.249221357063
2024-01,Part_2,monthly,C_320,Cardiology,revised-or-established,50,14.1139014296,14,14.5,15,-0.113901429646,0.386098570354
2024-01,Part_2,monthly,C_320,Cardiology,revised-or-established,75,26.2023458133,26,26.5,27,-0.202345813267,0.297654186733
2024-01,Part_2,monthly,C_320,Cardiology,revised-or-established,92,41.1285255266,41,41.5,42,-0.128525526598,0.371474473402
2024-01,Part_2,monthly,C_320,Cardiology,revised-or-established,95,46.188727783,46,46.5,47,-0.188727782975,0.311272217025
