period,kind,status,band_count,raw_rows,retained_rows,pooled_rows,certified_blank_zero_cells,unresolved_blank_rows,negative_cells,fractional_cells,duplicate_raw_keys,C999_reconciliation_failures,total_mismatches,total_all_mismatches,national_totals,sha256
2019-02,baseline,ok,53,65503,64689,3873,0,0,0,0,0,0,0,0,"{""Part_2"": 4144110}",8d819bbb4774719e7cabdedb02de11cfcef37029e2f899e9b82df274e3d203f1
2024-01,monthly,ok,105,66516,65423,4109,1027783,0,0,0,0,0,0,0,"{""Part_2"": 7575914}",1e2f71d0404a739634e77a7db6dbbf3d36cae8000016391ab4093a5e718ff865
2024-02,monthly,ok,105,65833,64766,4048,1003647,0,0,0,0,0,0,0,"{""Part_2"": 7536907}",a0931db8f4a3959ecbae56447fff1b85dbf5d35c802b3ccd2c040ef43443d32c
2024-03,monthly,ok,105,65671,64590,4039,1001217,0,0,0,0,0,0,0,"{""Part_2"": 7538830}",34cd3a3a5c2cbc4bd73dd94d9b0568c134d948215e35f6df64e99477afe51633
2024-04,monthly,ok,105,65543,64480,4029,995740,0,0,0,0,0,0,0,"{""Part_2"": 7570371}",b92298fc4f4672ce4d9572275653b4025eeffd58e76ad64f29d7efb9623544c0
2024-05,monthly,ok,105,65376,64324,4041,1063397,0,0,0,0,0,0,0,"{""Part_2"": 7601650}",d6cad83344e2de2fdd8d74d50f00ad8e6fa3ab2da397ebcf8db3b4615fc28203
2024-06,monthly,ok,105,65766,64714,4047,1011216,0,0,0,0,0,0,0,"{""Part_2"": 7621297}",27c5b2096f2a79a08f73e1f639301febf12b61fc87c2335a912f3f266eb5dbcf
2024-07,monthly,ok,105,66005,64931,4053,1048244,0,0,0,0,0,0,0,"{""Part_2"": 7623081}",1307ab332efdeb89b5c1023034e7ddc372c82c36c14e6843db61f44f11b6eab3
2024-08,monthly,ok,105,66497,65407,4067,992935,0,0,0,0,0,0,0,"{""Part_2"": 7641774}",20aa307899d1667f21b37993bf8bf2ac6447660240af5c13603491af7f5dd18e
2024-09,monthly,ok,105,66820,65739,4083,971526,0,0,0,0,0,0,0,"{""Part_2"": 7571549}",010fdebe4b94408a53c83e330cf0b8293617c91883bae0dd27786ad7abae8ef8
