period,part,kind,code,name,release,total,within18_count,middle_count,over52_count,open_count,closed_share,within18_share,middle_share,over52_share,p50,p50_band_lower,p75,p75_band_lower,p92,p92_band_lower,p95,p95_band_lower,gap_weeks
2025-02,Part_1A,full,C_100,General surgery,revised-or-established,26283,13902,8980,3401,15,0.999429288894,0.528935053076,0.341665715481,0.129399231442,16.4132653061,16,37.9231601732,37,57.4887958115,57,62.1512254902,62,39.4887958115
2025-02,Part_1A,full,C_110,Trauma and orthopaedics,revised-or-established,49200,19714,22157,7329,23,0.999532520325,0.400691056911,0.450345528455,0.148963414634,22.9267480577,22,41.8166969147,41,59.9537953795,59,63.7430406852,63,41.9537953795
2025-02,Part_1A,full,C_120,ENT,revised-or-established,13734,5177,4805,3752,15,0.998907820009,0.376947720984,0.349861657201,0.273190621814,31.4601769912,31,53.7396907216,53,64.8066968326,64,66.8681528662,66,46.8066968326
2025-02,Part_1A,full,C_130,Ophthalmology,revised-or-established,59564,45571,11977,2016,12,0.999798536028,0.765076220536,0.201077832248,0.0338459472164,6.82131661442,6,16.9376391982,16,38.5481712062,38,46.7368932039,46,20.5481712062
2025-02,Part_1A,full,C_301,Gastroenterology,revised-or-established,17699,15151,2081,467,13,0.999265495226,0.856037064241,0.117577264252,0.0263856715069,4.03941082803,4,10.4884146341,10,30.9674576271,30,41.2950980392,41,12.9674576271
2025-02,Part_1A,full,C_320,Cardiology,revised-or-established,9740,6400,2813,527,15,0.998459958932,0.657084188912,0.288809034908,0.0541067761807,11.4634146341,11,24.3482142857,24,46.6,46,52.8333333333,52,28.6
2025-02,Part_1A,full,C_400,Neurology,revised-or-established,701,534,154,13,0,1,0.761768901569,0.219686162625,0.018544935806,5.26,5,16.9583333333,16,35.184,35,41.3166666667,41,17.184
2025-02,Part_1A,full,C_999,"England, all specialties",revised-or-established,310349,187028,90313,33008,304,0.999020457614,0.602637675649,0.29100464316,0.106357681191,12.2440819423,12,31.9707726537,31,55.8698751201,55,61.31081621,61,37.8698751201
2025-02,Part_1B,full,C_100,General surgery,revised-or-established,50698,35506,11719,3473,53,0.99895459387,0.700343208805,0.231153102686,0.0685036885084,6.9829424307,6,23.0012406948,23,49.7722834646,49,55.5863157895,55,31.7722834646
2025-02,Part_1B,full,C_110,Trauma and orthopaedics,revised-or-established,93103,57612,28984,6507,93,0.999001106302,0.618798534956,0.311311128535,0.069890336509,12.470671521,12,27.4462828649,27,50.0520168067,50,56.0323677582,56,32.0520168067
2025-02,Part_1B,full,C_120,ENT,revised-or-established,81613,41697,29991,9925,52,0.999362846605,0.510911251884,0.367478220382,0.121610527735,17.2077402135,17,40.0788075561,40,55.7892482916,55,59.782059448,59,37.7892482916
2025-02,Part_1B,full,C_130,Ophthalmology,revised-or-established,103539,74974,25069,3496,92,0.999111445929,0.724113619023,0.242121326264,0.0337650547137,8.2610232245,8,19.778566482,19,41.1674437628,41,48.1588435374,48,23.1674437628
2025-02,Part_1B,full,C_301,Gastroenterology,revised-or-established,45959,28302,14755,2902,52,0.998868556757,0.615809743467,0.32104702017,0.0631432363628,11.5530530531,11,28.4605555556,28,49.2440121581,49,54.7151315789,54,31.2440121581
2025-02,Part_1B,full,C_320,Cardiology,revised-or-established,55135,31610,19264,4261,34,0.999383331822,0.573320032647,0.349396934796,0.0772830325565,14.2205882353,14,31.4381313131,31,51.5861878453,51,56.5447882736,56,33.5861878453
2025-02,Part_1B,full,C_400,Neurology,revised-or-established,31176,14349,13184,3643,13,0.999583012574,0.460257890685,0.422889402104,0.116852707211,20.0354477612,20,41.7014925373,41,55.7197538462,55,60.3343434343,60,37.7197538462
2025-02,Part_1B,full,C_999,"England, all specialties",revised-or-established,1147295,752948,324186,70161,764,0.999334085828,0.656281078537,0.282565512793,0.06115340867,9.77195064072,9,26.0893171161,26,48.8837155072,48,54.1040994738,54,30.8837155072
2026-04,Part_1A,full,C_100,General surgery,first-release,24402,12619,9633,2150,14,0.999426276535,0.517129743464,0.394762724367,0.0881075321695,16.8764044944,16,36.1013513514,36,52.8175206612,52,56.4018292683,56,34.8175206612
