period,code,within18_count_difference,middle_count_difference,total_difference,within18_pp_difference,status
2024-01,C_100,0,0,0,-0.00144192527035,PASS
2024-01,C_110,0,0,0,0.00371457230111,PASS
2024-01,C_120,0,0,0,-0.00348166119043,PASS
2024-01,C_130,0,0,0,-0.00475019652659,PASS
2024-01,C_301,0,0,0,0.00341715183583,PASS
2024-01,C_320,0,0,0,-0.000466808884426,PASS
2024-01,C_400,0,0,0,0.00223332393957,PASS
2024-02,C_100,0,0,0,0.00124828753324,PASS
2024-02,C_110,0,0,0,0.000413626575053,PASS
2024-02,C_120,0,0,0,-0.00386274228742,PASS
2024-02,C_130,0,0,0,-0.0026914925825,PASS
2024-02,C_301,0,0,0,-0.00137533615059,PASS
2024-02,C_320,0,0,0,0.00491197562479,PASS
2024-02,C_400,0,0,0,0.000383299110197,PASS
2024-03,C_100,0,0,0,-0.00484156087047,PASS
2024-03,C_110,0,0,0,-0.00395274876144,PASS
2024-03,C_120,0,0,0,-0.00376005880835,PASS
2024-03,C_130,0,0,0,-0.00362291483326,PASS
2024-03,C_301,0,0,0,0.0031792733587,PASS
2024-03,C_320,0,0,0,0.00317036101298,PASS
2024-03,C_400,0,0,0,-0.0034270280998,PASS
2024-04,C_100,0,0,0,3.84690632771e-05,PASS
2024-04,C_110,0,0,0,0.00232727621997,PASS
2024-04,C_120,0,0,0,-0.00421437376197,PASS
2024-04,C_130,0,0,0,-0.00108193876852,PASS
2024-04,C_301,0,0,0,0.0048385385855,PASS
2024-04,C_320,0,0,0,-0.00432228287768,PASS
2024-04,C_400,0,0,0,0.00330994067119,PASS
2024-05,C_100,0,0,0,0.00376587325025,PASS
2024-05,C_110,0,0,0,-0.00374344509156,PASS
2024-05,C_120,0,0,0,0.00197969017465,PASS
2024-05,C_130,0,0,0,-0.00242413621656,PASS
2024-05,C_301,0,0,0,-0.00297771927982,PASS
2024-05,C_320,0,0,0,0.00481358168093,PASS
2024-05,C_400,0,0,0,-0.00496161957701,PASS
2024-06,C_100,0,0,0,-0.00230298682174,PASS
2024-06,C_110,0,0,0,-0.0035879353795,PASS
2024-06,C_120,0,0,0,-0.00242042898562,PASS
2024-06,C_130,0,0,0,-7.59656286675e-05,PASS
2024-06,C_301,0,0,0,-0.00242578321819,PASS
2024-06,C_320,0,0,0,0.000521432405485,PASS
2024-06,C_400,0,0,0,-0.00365175353183,PASS
2024-07,C_100,0,0,0,-0.00492311467169,PASS
2024-07,C_110,0,0,0,0.000471493354112,PASS
2024-07,C_120,0,0,0,0.00348169645641,PASS
2024-07,C_130,0,0,0,-0.00326466376301,PASS
2024-07,C_301,0,0,0,0.00150006929793,PASS
2024-07,C_320,0,0,0,-0.00175234047441,PASS
2024-07,C_400,0,0,0,-0.00137775795799,PASS
2024-08,C_100,0,0,0,-0.00380590112928,PASS
2024-08,C_110,0,0,0,0.00337542771625,PASS
2024-08,C_120,0,0,0,0.0024945355569,PASS
2024-08,C_130,0,0,0,-0.000476741662453,PASS
2024-08,C_301,0,0,0,0.00149295370896,PASS
2024-08,C_320,0,0,0,0.000930138128211,PASS
2024-08,C_400,0,0,0,0.000670650533976,PASS
2024-09,C_100,0,0,0,-0.00412283563514,PASS
2024-09,C_110,0,0,0,-0.00260758762606,PASS
2024-09,C_120,0,0,0,-0.00405728732888,PASS
2024-09,C_130,0,0,0,0.000931252852396,PASS
2024-09,C_301,0,0,0,-0.00459017401621,PASS
2024-09,C_320,0,0,0,0.00325928513892,PASS
2024-09,C_400,0,0,0,-0.00164280845262,PASS
2024-10,C_100,0,0,0,-0.00398125260515,PASS
2024-10,C_110,0,0,0,-0.00408900731599,PASS
2024-10,C_120,0,0,0,-0.000521338608976,PASS
2024-10,C_130,0,0,0,0.00179670686815,PASS
2024-10,C_301,0,0,0,0.00363954978108,PASS
2024-10,C_320,0,0,0,0.00268670952897,PASS
2024-10,C_400,0,0,0,-0.00128362640457,PASS
2024-11,C_100,0,0,0,-0.00119271706766,PASS
2024-11,C_110,0,0,0,0.000355731225298,PASS
2024-11,C_120,0,0,0,0.00466230833609,PASS
2024-11,C_130,0,0,0,-9.76621062421e-05,PASS
2024-11,C_301,0,0,0,-0.000165577075826,PASS
2024-11,C_320,0,0,0,0.00239545980195,PASS
2024-11,C_400,0,0,0,-0.000244198786689,PASS
2024-12,C_100,0,0,0,-0.00359135251728,PASS
2024-12,C_110,0,0,0,-0.00422254050038,PASS
2024-12,C_120,0,0,0,0.00451223343706,PASS
2024-12,C_130,0,0,0,-0.00232695779658,PASS
2024-12,C_301,0,0,0,-0.0018259790945,PASS
2024-12,C_320,0,0,0,0.00381244354684,PASS
2024-12,C_400,0,0,0,-0.00288732846654,PASS
2025-01,C_100,0,0,0,0.00316791219917,PASS
2025-01,C_110,0,0,0,0.00107636771887,PASS
2025-01,C_120,0,0,0,-0.00118907330415,PASS
2025-01,C_130,0,0,0,1.36577155843e-05,PASS
2025-01,C_301,0,0,0,-0.00292465556178,PASS
2025-01,C_320,0,0,0,0.00359579572057,PASS
2025-01,C_400,0,0,0,-0.00357662510462,PASS
2025-02,C_100,0,0,0,-0.00195074084976,PASS
2025-02,C_110,0,0,0,0.000665320185334,PASS
2025-02,C_120,0,0,0,0.00433153966983,PASS
2025-02,C_130,0,0,0,-0.00252560547395,PASS
2025-02,C_301,0,0,0,0.0028564180619,PASS
2025-02,C_320,0,0,0,0.00475004920052,PASS
2025-02,C_400,0,0,0,-0.000966162550327,PASS
2025-03,C_100,0,0,0,-0.00176877416544,PASS
2025-03,C_110,0,0,0,0.00443044791274,PASS
2025-03,C_120,0,0,0,-0.00388486162792,PASS
2025-03,C_130,0,0,0,0.000900621753885,PASS
2025-03,C_301,0,0,0,-0.00099488362914,PASS
2025-03,C_320,0,0,0,-0.00378237643125,PASS
2025-03,C_400,0,0,0,-0.00374668317708,PASS
2025-04,C_100,0,0,0,-0.0021322707076,PASS
2025-04,C_110,0,0,0,0.00425342368384,PASS
