period,sheet,row,code,p,n,band,official,linear_pN,difference
2024-01,National,15,C_100,0.5,424169,15,15.7953076018809,15.795307601880879,-2.1316282072803006e-14
2024-01,National,15,C_100,0.92,424169,47,47.3433642195296,47.34336421952959,-7.105427357601002e-15
2024-01,National,16,C_101,0.5,413969,15,15.0138729977117,15.01387299771167,-2.842170943040401e-14
2024-01,National,16,C_101,0.92,413969,46,46.5699034376207,46.56990343762072,1.4210854715202004e-14
2024-01,National,17,C_110,0.5,849406,16,16.1496002680837,16.14960026808368,-1.7763568394002505e-14
2024-01,National,17,C_110,0.92,849406,47,47.4510968714663,47.45109687146627,-2.842170943040401e-14
2024-01,National,18,C_120,0.5,621169,18,18.8328610783156,18.832861078315624,2.4868995751603507e-14
2024-01,National,18,C_120,0.92,621169,49,49.5039317734529,49.50393177345287,-2.842170943040401e-14
2024-01,National,19,C_130,0.5,605516,12,12.6132581257679,12.6132581257679,0.0
2024-01,National,19,C_130,0.92,605516,40,40.2708121711279,40.27081217112788,-2.1316282072803006e-14
2024-01,National,20,C_140,0.5,323723,18,18.2338034068696,18.23380340686959,-1.0658141036401503e-14
2024-01,National,20,C_140,0.92,323723,49,49.6700519031142,49.6700519031142,0.0
2024-01,National,21,C_150,0.5,61364,16,16.2988904299584,16.29889042995839,-1.0658141036401503e-14
2024-01,National,21,C_150,0.92,61364,49,49.3595604395605,49.359560439560454,-4.263256414560601e-14
2024-01,National,22,C_160,0.5,107761,17,17.3519818331957,17.351981833195705,3.552713678800501e-15
2024-01,National,22,C_160,0.92,107761,50,50.4447769784173,50.44477697841728,-2.1316282072803006e-14
2024-01,National,23,C_170,0.5,9611,12,12.0674740484429,12.067474048442907,7.105427357601002e-15
2024-01,National,23,C_170,0.92,9611,42,42.4389743589744,42.43897435897438,-2.1316282072803006e-14
2024-01,National,24,C_300,0.5,40831,12,12.1654929577465,12.165492957746478,-2.1316282072803006e-14
2024-01,National,24,C_300,0.92,40831,38,38.825568627451,38.825568627451,0.0
