period,part,kind,code,name,release,total,within18_count,middle_count,over52_count,open_count,closed_share,within18_share,middle_share,over52_share,p50,p50_band_lower,p75,p75_band_lower,p92,p92_band_lower,p95,p95_band_lower,gap_weeks
2024-01,Part_2,monthly,C_100,General surgery,revised-or-established,424169,233202,168216,22751,10,0.999976424491,0.549785580747,0.39657777914,0.0536366401128,15.7953076019,15,29.8323659254,29,47.3433642195,47,52.7747614264,52,29.3433642195
2024-01,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,849406,462703,339801,46902,63,0.999925830522,0.544737145723,0.400045443522,0.0552174107553,16.1496002681,16,29.8394626298,29,47.4510968715,47,53.1949620039,53,29.4510968715
2024-01,Part_2,monthly,C_120,ENT,revised-or-established,621169,300003,282392,38774,11,0.999982291454,0.482965183388,0.454613800753,0.0624210158588,18.8328610783,18,33.8180106101,33,49.5039317735,49,54.1273131127,54,31.5039317735
2024-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,605516,384595,206402,14519,8,0.999986788128,0.635152498035,0.340869605427,0.0239778965378,12.6132581258,12,24.5495407888,24,40.2708121711,40,45.5269279393,45,22.2708121711
2024-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,384402,227656,142204,14542,2,0.999994797113,0.592234171518,0.369935640293,0.0378301881884,14.1336463224,14,27.2497226331,27,44.2008196063,44,49.2507786429,49,26.2008196063
2024-01,Part_2,monthly,C_320,Cardiology,revised-or-established,398450,238590,149861,9999,3,0.999992470824,0.598795331911,0.376109925963,0.0250947421257,14.1139014296,14,26.2023458133,26,41.1285255266,41,46.188727783,46,23.1285255266
2024-01,Part_2,monthly,C_400,Neurology,revised-or-established,234198,125348,101133,7717,0,1,0.535222333239,0.431826915687,0.0329507510739,16.4827223294,16,29.2744168162,29,44.0317814208,44,48.5173657101,48,26.0317814208
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7575914,4321271,2933249,321394,376,0.999950369025,0.570395994464,0.387180873489,0.0424231320472,15.0395728511,15,28.5058518566,28,45.2683845915,45,50.3807723533,50,27.2683845915
2024-02,Part_2,monthly,C_100,General surgery,revised-or-established,421906,233699,166491,21716,19,0.999954966272,0.553912482875,0.39461633634,0.0514711807843,15.5613038278,15,29.7243513651,29,47.0085527273,47,52.3013106796,52,29.0085527273
2024-02,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,842354,457149,340503,44702,36,0.999957262624,0.542704136266,0.40422791368,0.0530679500543,16.1578947368,16,29.945572264,29,47.1855942468,47,52.664344473,52,29.1855942468
2024-02,Part_2,monthly,C_120,ENT,revised-or-established,627870,308825,279855,39190,19,0.999969738959,0.491861372577,0.445721248029,0.0624173793938,18.4095207565,18,33.5901839776,33,49.6064617809,49,54.0118263473,54,31.6064617809
2024-02,Part_2,monthly,C_130,Ophthalmology,revised-or-established,607752,389735,203481,14536,3,0.999995063776,0.641273085074,0.334809264305,0.0239176506206,12.3511010862,12,24.0128107697,24,40.2793176783,40,45.2517219388,45,22.2793176783
