period,part,kind,code,name,release,lower_week,upper_week,open_band,count,share,group
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,0,1,False,409268,0.0987589615141,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,1,2,False,345081,0.0832702317265,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,2,3,False,326631,0.0788181298276,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,3,4,False,300314,0.0724676709836,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,4,5,False,275326,0.0664379082602,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,5,6,False,254221,0.0613451380393,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,6,7,False,233113,0.0562516438994,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,7,8,False,204062,0.0492414535328,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,8,9,False,123222,0.0297342493322,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,9,10,False,97450,0.0235153024413,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,10,11,False,171430,0.0413671451771,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,11,12,False,158648,0.0382827675906,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,12,13,False,149980,0.0361911242703,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,13,14,False,136587,0.0329593085126,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,14,15,False,124281,0.029989792742,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,15,16,False,112683,0.0271911218573,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,16,17,False,97822,0.0236050683983,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,17,18,False,84137,0.0203027911904,within18
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,18,19,False,58680,0.0141598557953,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,19,20,False,54632,0.0131830477473,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,20,21,False,49602,0.0119692768773,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,21,22,False,43052,0.0103887203766,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,22,23,False,36611,0.00883446626658,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,23,24,False,33223,0.00801692040028,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,24,25,False,30290,0.00730916891685,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,25,26,False,26330,0.00635359582637,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,26,27,False,18360,0.0044303843286,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,27,28,False,20431,0.00493012975042,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,28,29,False,19090,0.00460653795387,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,29,30,False,17420,0.00420355637278,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,30,31,False,16049,0.00387272538615,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,31,32,False,14331,0.00345816110094,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,32,33,False,13377,0.00322795485641,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,33,34,False,11801,0.00284765607091,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,34,35,False,10688,0.00257908211896,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,35,36,False,9336,0.00225283595271,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,36,37,False,8278,0.00199753384925,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,37,38,False,7857,0.0018959438818,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,38,39,False,6710,0.00161916551443,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,39,40,False,4626,0.00111628311025,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,40,41,False,5284,0.00127506267932,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,41,42,False,4608,0.0011119395962,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,42,43,False,3159,0.000762286715362,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,43,44,False,3408,0.000822371993021,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,44,45,False,2720,0.000656353233867,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,45,46,False,2239,0.00054028488626,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,46,47,False,1775,0.000428318746365,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,47,48,False,860,0.000207523448943,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,48,49,False,1065,0.000256991247819,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,49,50,False,903,0.00021789962139,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,50,51,False,690,0.000166501371827,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,51,52,False,407,9.8211678744e-05,middle
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,52,,True,1962,0.000473443031194,over52
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,0,1,False,411074,0.0542606476261,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,1,2,False,356961,0.04711787911,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,2,3,False,332768,0.0439244690476,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,3,4,False,287612,0.0379640001193,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,4,5,False,183527,0.0242250638009,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,5,6,False,154376,0.0203772112513,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,6,7,False,265677,0.0350686399027,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7,8,False,251952,0.0332569773099,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,8,9,False,245135,0.0323571518895,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,9,10,False,240283,0.0317167011136,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,10,11,False,232245,0.030655707021,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,11,12,False,223725,0.029531090242,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,12,13,False,209720,0.0276824684124,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,13,14,False,194288,0.025645486472,within18
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,14,15,False,191095,0.0252240191745,within18
