period,part,kind,code,name,total,open_count,closed_share,all_below_p99_identifiable,published_percentile_in_open_band
2019-02,Part_2,baseline,C_100,General surgery,317920,389,0.998776421741,True,False
2019-02,Part_2,baseline,C_110,Trauma and orthopaedics,493564,496,0.99899506447,True,False
2019-02,Part_2,baseline,C_120,ENT,293344,149,0.999492063925,True,False
2019-02,Part_2,baseline,C_130,Ophthalmology,423742,141,0.999667250355,True,False
2019-02,Part_2,baseline,C_301,Gastroenterology,219774,30,0.999863496137,True,False
2019-02,Part_2,baseline,C_320,Cardiology,201406,87,0.999568036702,True,False
2019-02,Part_2,baseline,C_400,Neurology,126174,22,0.999825637612,True,False
2019-02,Part_2,baseline,C_999,"England, all specialties",4144110,1962,0.999526556969,True,False
2025-02,Part_1A,full,C_100,General surgery,26283,15,0.999429288894,True,False
2025-02,Part_1A,full,C_110,Trauma and orthopaedics,49200,23,0.999532520325,True,False
2025-02,Part_1A,full,C_120,ENT,13734,15,0.998907820009,True,False
2025-02,Part_1A,full,C_130,Ophthalmology,59564,12,0.999798536028,True,False
2025-02,Part_1A,full,C_301,Gastroenterology,17699,13,0.999265495226,True,False
2025-02,Part_1A,full,C_320,Cardiology,9740,15,0.998459958932,True,False
2025-02,Part_1A,full,C_400,Neurology,701,0,1,True,False
2025-02,Part_1A,full,C_999,"England, all specialties",310349,304,0.999020457614,True,False
2025-02,Part_1B,full,C_100,General surgery,50698,53,0.99895459387,True,False
2025-02,Part_1B,full,C_110,Trauma and orthopaedics,93103,93,0.999001106302,True,False
2025-02,Part_1B,full,C_120,ENT,81613,52,0.999362846605,True,False
2025-02,Part_1B,full,C_130,Ophthalmology,103539,92,0.999111445929,True,False
2025-02,Part_1B,full,C_301,Gastroenterology,45959,52,0.998868556757,True,False
2025-02,Part_1B,full,C_320,Cardiology,55135,34,0.999383331822,True,False
2025-02,Part_1B,full,C_400,Neurology,31176,13,0.999583012574,True,False
2025-02,Part_1B,full,C_999,"England, all specialties",1147295,764,0.999334085828,True,False
2026-04,Part_1A,full,C_100,General surgery,24402,14,0.999426276535,True,False
2026-04,Part_1A,full,C_110,Trauma and orthopaedics,45522,60,0.998681955977,True,False
2026-04,Part_1A,full,C_120,ENT,12242,29,0.997631106028,True,False
2026-04,Part_1A,full,C_130,Ophthalmology,52015,32,0.999384792848,True,False
2026-04,Part_1A,full,C_301,Gastroenterology,16723,40,0.997608084674,True,False
2026-04,Part_1A,full,C_320,Cardiology,9210,18,0.998045602606,True,False
2026-04,Part_1A,full,C_400,Neurology,534,2,0.996254681648,True,False
2026-04,Part_1A,full,C_999,"England, all specialties",287231,485,0.998311463596,True,False
2026-04,Part_1B,full,C_100,General surgery,48325,24,0.999503362649,True,False
2026-04,Part_1B,full,C_110,Trauma and orthopaedics,100697,90,0.99910622958,True,False
2026-04,Part_1B,full,C_120,ENT,81545,72,0.999117051935,True,False
2026-04,Part_1B,full,C_130,Ophthalmology,102331,83,0.999188906587,True,False
2026-04,Part_1B,full,C_301,Gastroenterology,49124,31,0.999368943897,True,False
2026-04,Part_1B,full,C_320,Cardiology,54589,38,0.999303889062,True,False
2026-04,Part_1B,full,C_400,Neurology,30663,17,0.999445585885,True,False
2026-04,Part_1B,full,C_999,"England, all specialties",1159840,787,0.999321458132,True,False
2024-01,Part_2,monthly,C_100,General surgery,424169,10,0.999976424491,True,False
2024-01,Part_2,monthly,C_110,Trauma and orthopaedics,849406,63,0.999925830522,True,False
2024-01,Part_2,monthly,C_120,ENT,621169,11,0.999982291454,True,False
2024-01,Part_2,monthly,C_130,Ophthalmology,605516,8,0.999986788128,True,False
2024-01,Part_2,monthly,C_301,Gastroenterology,384402,2,0.999994797113,True,False
2024-01,Part_2,monthly,C_320,Cardiology,398450,3,0.999992470824,True,False
2024-01,Part_2,monthly,C_400,Neurology,234198,0,1,True,False
2024-01,Part_2,monthly,C_999,"England, all specialties",7575914,376,0.999950369025,True,False
2024-02,Part_2,monthly,C_100,General surgery,421906,19,0.999954966272,True,False
2024-02,Part_2,monthly,C_110,Trauma and orthopaedics,842354,36,0.999957262624,True,False
2024-02,Part_2,monthly,C_120,ENT,627870,19,0.999969738959,True,False
2024-02,Part_2,monthly,C_130,Ophthalmology,607752,3,0.999995063776,True,False
2024-02,Part_2,monthly,C_301,Gastroenterology,390450,3,0.999992316558,True,False
2024-02,Part_2,monthly,C_320,Cardiology,399094,1,0.999997494325,True,False
2024-02,Part_2,monthly,C_400,Neurology,233760,1,0.999995722108,True,False
2024-02,Part_2,monthly,C_999,"England, all specialties",7536907,252,0.999966564534,True,False
2024-03,Part_2,monthly,C_100,General surgery,421329,17,0.999959651484,True,False
2024-03,Part_2,monthly,C_110,Trauma and orthopaedics,835449,28,0.999966485088,True,False
2024-03,Part_2,monthly,C_120,ENT,639365,18,0.999971847067,True,False
2024-03,Part_2,monthly,C_130,Ophthalmology,611342,3,0.999995092763,True,False
2024-03,Part_2,monthly,C_301,Gastroenterology,390454,2,0.999994877758,True,False
2024-03,Part_2,monthly,C_320,Cardiology,405304,1,0.999997532716,True,False
2024-03,Part_2,monthly,C_400,Neurology,231781,1,0.999995685583,True,False
2024-03,Part_2,monthly,C_999,"England, all specialties",7538830,232,0.999969225994,True,False
2024-04,Part_2,monthly,C_100,General surgery,424237,10,0.99997642827,True,False
2024-04,Part_2,monthly,C_110,Trauma and orthopaedics,832905,33,0.999960379635,True,False
2024-04,Part_2,monthly,C_120,ENT,652244,17,0.999973936134,True,False
2024-04,Part_2,monthly,C_130,Ophthalmology,613214,4,0.999993476992,True,False
2024-04,Part_2,monthly,C_301,Gastroenterology,392168,2,0.999994900145,True,False
2024-04,Part_2,monthly,C_320,Cardiology,410149,0,1,True,False
2024-04,Part_2,monthly,C_400,Neurology,234119,2,0.999991457336,True,False
2024-04,Part_2,monthly,C_999,"England, all specialties",7570371,275,0.999963674171,True,False
2024-05,Part_2,monthly,C_100,General surgery,423275,8,0.999981099758,True,False
2024-05,Part_2,monthly,C_110,Trauma and orthopaedics,837731,28,0.999966576383,True,False
2024-05,Part_2,monthly,C_120,ENT,656628,6,0.999990862406,True,False
2024-05,Part_2,monthly,C_130,Ophthalmology,613435,9,0.999985328519,True,False
2024-05,Part_2,monthly,C_301,Gastroenterology,390517,1,0.999997439292,True,False
2024-05,Part_2,monthly,C_320,Cardiology,412379,1,0.999997575046,True,False
2024-05,Part_2,monthly,C_400,Neurology,234234,1,0.999995730765,True,False
2024-05,Part_2,monthly,C_999,"England, all specialties",7601650,259,0.99996592845,True,False
2024-06,Part_2,monthly,C_100,General surgery,423728,10,0.999976399955,True,False
2024-06,Part_2,monthly,C_110,Trauma and orthopaedics,840043,18,0.999978572525,True,False
2024-06,Part_2,monthly,C_120,ENT,658437,7,0.999989368763,True,False
2024-06,Part_2,monthly,C_130,Ophthalmology,610276,8,0.999986891177,True,False
2024-06,Part_2,monthly,C_301,Gastroenterology,390983,3,0.999992327032,True,False
2024-06,Part_2,monthly,C_320,Cardiology,417312,0,1,True,False
2024-06,Part_2,monthly,C_400,Neurology,234156,1,0.999995729343,True,False
2024-06,Part_2,monthly,C_999,"England, all specialties",7621297,120,0.999984254649,True,False
2024-07,Part_2,monthly,C_100,General surgery,419781,9,0.999978560249,True,False
2024-07,Part_2,monthly,C_110,Trauma and orthopaedics,850977,17,0.999980022962,True,False
2024-07,Part_2,monthly,C_120,ENT,657441,7,0.999989352657,True,False
