period,part,kind,national_total,detailed_total,max_band_difference
2019-02,Part_2,baseline,4144110,4144110,0
2024-01,Part_2,monthly,7575914,7575914,0
2024-02,Part_2,monthly,7536907,7536907,0
2024-03,Part_2,monthly,7538830,7538830,0
2024-04,Part_2,monthly,7570371,7570371,0
2024-05,Part_2,monthly,7601650,7601650,0
2024-06,Part_2,monthly,7621297,7621297,0
2024-07,Part_2,monthly,7623081,7623081,0
2024-08,Part_2,monthly,7641774,7641774,0
2024-09,Part_2,monthly,7571549,7571549,0
2024-10,Part_2,monthly,7541371,7541371,0
2024-11,Part_2,monthly,7479867,7479867,0
2024-12,Part_2,monthly,7463085,7463085,0
2025-01,Part_2,monthly,7427669,7427669,0
2025-02,Part_2,monthly,7401153,7401153,0
2025-02,Part_1A,full,310349,310349,0
2025-02,Part_1B,full,1147295,1147295,0
2025-03,Part_2,monthly,7418598,7418598,0
2025-04,Part_2,monthly,7389065,7389065,0
2025-05,Part_2,monthly,7355950,7355950,0
2025-06,Part_2,monthly,7367836,7367836,0
2025-07,Part_2,monthly,7299023,7299023,0
2025-08,Part_2,monthly,7312356,7312356,0
2025-09,Part_2,monthly,7296893,7296893,0
2025-10,Part_2,monthly,7304189,7304189,0
2025-11,Part_2,monthly,7159010,7159010,0
2025-12,Part_2,monthly,7199624,7199624,0
2026-01,Part_2,monthly,7155958,7155958,0
2026-02,Part_2,monthly,7124952,7124952,0
2026-03,Part_2,monthly,7014835,7014835,0
2026-04,Part_2,monthly,7093502,7093502,0
2026-04,Part_1A,full,287231,287231,0
2026-04,Part_1B,full,1159840,1159840,0
2026-05,Part_2,monthly,7153655,7153655,0
