period,kind,part,code,total,within18_count,middle_count,over52_count,within18_share,middle_share,over52_share,open_count,closed_share,band_count,first_release,p50,p50_band_lower,p50_midpoint,p50_lower_shift,p50_midpoint_shift,p75,p75_band_lower,p75_midpoint,p75_lower_shift,p75_midpoint_shift,p92,p92_band_lower,p92_midpoint,p92_lower_shift,p92_midpoint_shift,p95,p95_band_lower,p95_midpoint,p95_lower_shift,p95_midpoint_shift,gap_weeks,date,period_raw,specialty_code,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,pct_within_18w,pct_over_52w,specialty_name,count_difference,percentage_difference_after_rounding,middle_count_difference
2024-01,monthly,Part_2,C_100,424169,233202,168216,22751,0.5497855807472964,0.3965777791399182,0.0536366401127852,10,0.9999764244911816,105,False,15.79530760188088,15,15.5,-0.7953076018808787,-0.2953076018808787,29.832365925441465,29,29.5,-0.832365925441465,-0.332365925441465,47.34336421952959,47,47.5,-0.3433642195295903,0.1566357804704097,52.77476142641888,52,52.5,-0.7747614264188769,-0.2747614264188769,29.34336421952959,2024-01-01,RTT-January-2024,C_100,424169.0,233202.0,168216.0,22751.0,54.98,5.36,General Surgery,0.0,0.0,0.0
2024-01,monthly,Part_2,C_110,849406,462703,339801,46902,0.5447371457230111,0.4000454435217081,0.0552174107552807,63,0.9999258305215644,105,False,16.14960026808368,16,16.5,-0.149600268083681,0.350399731916319,29.83946262978521,29,29.5,-0.8394626297852099,-0.3394626297852099,47.45109687146627,47,47.5,-0.4510968714662695,0.0489031285337304,53.19496200394032,53,53.5,-0.1949620039403186,0.3050379960596814,29.45109687146627,2024-01-01,RTT-January-2024,C_110,849406.0,462703.0,339801.0,46902.0,54.47,5.52,Trauma & Orthopaedics,0.0,0.0,0.0
2024-01,monthly,Part_2,C_120,621169,300003,282392,38774,0.4829651833880957,0.4546138007530961,0.0624210158588081,11,0.9999822914536944,105,False,18.832861078315624,18,18.5,-0.8328610783156236,-0.3328610783156236,33.818010610079575,33,33.5,-0.8180106100795754,-0.3180106100795754,49.50393177345287,49,49.5,-0.5039317734528694,-0.0039317734528694,54.12731311274508,54,54.5,-0.1273131127450781,0.3726868872549218,31.50393177345287,2024-01-01,RTT-January-2024,C_120,621169.0,300003.0,282392.0,38774.0,48.3,6.24,ENT,0.0,0.0,0.0
2024-01,monthly,Part_2,C_130,605516,384595,206402,14519,0.6351524980347341,0.3408696054274371,0.0239778965378288,8,0.9999867881278116,105,False,12.6132581257679,12,12.5,-0.6132581257678993,-0.1132581257678992,24.54954078876283,24,24.5,-0.5495407887628296,-0.0495407887628296,40.27081217112788,40,40.5,-0.2708121711278792,0.2291878288721207,45.526927939317304,45,45.5,-0.5269279393173036,-0.0269279393173036,22.27081217112788,2024-01-01,RTT-January-2024,C_130,605516.0,384595.0,206402.0,14519.0,63.52,2.4,Ophthalmology,0.0,0.0,0.0
2024-01,monthly,Part_2,C_301,384402,227656,142204,14542,0.5922341715183583,0.3699356402932346,0.0378301881884069,2,0.9999947971134384,105,False,14.133646322378716,14,14.5,-0.1336463223787163,0.3663536776212837,27.249722633136095,27,27.5,-0.2497226331360948,0.2502773668639051,44.200819606267586,44,44.5,-0.2008196062675864,0.2991803937324135,49.250778642936574,49,49.5,-0.2507786429365737,0.2492213570634263,26.200819606267583,2024-01-01,RTT-January-2024,C_301,384402.0,227656.0,142204.0,14542.0,59.22,3.78,Gastroenterology,0.0,0.0,0.0
2024-01,monthly,Part_2,C_320,398450,238590,149861,9999,0.5987953319111557,0.376109925963107,0.0250947421257372,3,0.9999924708244448,105,False,14.11390142964635,14,14.5,-0.1139014296463507,0.3860985703536492,26.20234581326705,26,26.5,-0.2023458132670512,0.2976541867329487,41.12852552659764,41,41.5,-0.1285255265976417,0.3714744734023583,46.188727782974745,46,46.5,-0.1887277829747446,0.3112722170252553,23.12852552659764,2024-01-01,RTT-January-2024,C_320,398450.0,238590.0,149861.0,9999.0,59.88,2.51,Cardiology,0.0,0.0,0.0
2024-01,monthly,Part_2,C_400,234198,125348,101133,7717,0.5352223332393957,0.4318269156867266,0.0329507510738776,0,1.0,105,False,16.482722329415893,16,16.5,-0.4827223294158926,0.0172776705841073,29.274416816200976,29,29.5,-0.2744168162009757,0.2255831837990243,44.03178142076503,44,44.5,-0.0317814207650286,0.4682185792349713,48.51736571008093,48,48.5,-0.5173657100809237,-0.0173657100809236,26.03178142076503,2024-01-01,RTT-January-2024,C_400,234198.0,125348.0,101133.0,7717.0,53.52,3.3,Neurology,0.0,0.0,0.0
2024-02,monthly,Part_2,C_100,421906,233699,166491,21716,0.5539124828753325,0.3946163363403222,0.0514711807843453,19,0.999954966272108,105,False,15.561303827751196,15,15.5,-0.5613038277511961,-0.0613038277511961,29.724351365100897,29,29.5,-0.7243513651008975,-0.2243513651008974,47.008552727272736,47,47.5,-0.0085527272727361,0.4914472727272638,52.301310679611625,52,52.5,-0.3013106796116247,0.1986893203883752,29.008552727272736,2024-02-01,RTT-February-2024,C_100,421906.0,233699.0,166491.0,21716.0,55.39,5.15,General Surgery,0.0,0.0,0.0
2024-02,monthly,Part_2,C_110,842354,457149,340503,44702,0.5427041362657505,0.4042279136799968,0.0530679500542527,36,0.9999572626235526,105,False,16.157894736842106,16,16.5,-0.1578947368421062,0.3421052631578938,29.945572263993316,29,29.5,-0.9455722639933164,-0.4455722639933164,47.18559424678275,47,47.5,-0.1855942467827489,0.314405753217251,52.664344473007695,52,52.5,-0.6643444730076951,-0.164344473007695,29.18559424678275,2024-02-01,RTT-February-2024,C_110,842354.0,457149.0,340503.0,44702.0,54.27,5.31,Trauma & Orthopaedics,0.0,0.0,0.0
2024-02,monthly,Part_2,C_120,627870,308825,279855,39190,0.4918613725771258,0.4457212480290506,0.0624173793938235,19,0.9999697389587016,105,False,18.409520756531496,18,18.5,-0.4095207565314958,0.0904792434685042,33.59018397764322,33,33.5,-0.5901839776432212,-0.0901839776432211,49.60646178092987,49,49.5,-0.6064617809298696,-0.1064617809298695,54.01182634730539,54,54.5,-0.0118263473053872,0.4881736526946127,31.60646178092987,2024-02-01,RTT-February-2024,C_120,627870.0,308825.0,279855.0,39190.0,49.19,6.24,ENT,0.0,0.0,0.0
2024-02,monthly,Part_2,C_130,607752,389735,203481,14536,0.641273085074175,0.3348092643051771,0.0239176506206478,3,0.999995063776014,105,False,12.351101086246809,12,12.5,-0.3511010862468087,0.1488989137531913,24.012810769731843,24,24.5,-0.0128107697318426,0.4871892302681573,40.27931767833407,40,40.5,-0.2793176783340669,0.220682321665933,45.25172193877552,45,45.5,-0.2517219387755176,0.2482780612244823,22.279317678334067,2024-02-01,RTT-February-2024,C_130,607752.0,389735.0,203481.0,14536.0,64.13,2.39,Ophthalmology,0.0,0.0,0.0
2024-02,monthly,Part_2,C_301,390450,233718,142865,13867,0.598586246638494,0.3658983224484569,0.035515430913049,3,0.999992316557818,105,False,13.958960590660658,13,13.5,-0.9589605906606576,-0.4589605906606575,26.80807970221152,26,26.5,-0.8080797022115185,-0.3080797022115185,43.32102022867194,43,43.5,-0.3210202286719408,0.1789797713280592,48.890085127691535,48,48.5,-0.8900851276915347,-0.3900851276915347,25.32102022867194,2024-02-01,RTT-February-2024,C_301,390450.0,233718.0,142865.0,13867.0,59.86,3.55,Gastroenterology,0.0,0.0,0.0
2024-02,monthly,Part_2,C_320,399094,239037,150172,9885,0.5989491197562479,0.3762822793627566,0.0247686008809954,1,0.9999974943246454,105,False,14.124244338175584,14,14.5,-0.1242443381755844,0.3757556618244155,25.942286947141316,25,25.5,-0.9422869471413158,-0.4422869471413158,41.06729458917837,41,41.5,-0.0672945891783669,0.432705410821633,45.93252069917203,45,45.5,-0.9325206991720308,-0.4325206991720307,23.067294589178367,2024-02-01,RTT-February-2024,C_320,399094.0,239037.0,150172.0,9885.0,59.89,2.48,Cardiology,0.0,0.0,0.0
2024-02,monthly,Part_2,C_400,233760,125156,101105,7499,0.535403832991102,0.4325162559890486,0.0320799110198494,1,0.9999957221081452,105,False,16.56304202801868,16,16.5,-0.5630420280186783,-0.0630420280186783,29.511482254697285,29,29.5,-0.5114822546972846,-0.0114822546972845,43.61139772045592,43,43.5,-0.6113977204559191,-0.1113977204559191,48.37047970479705,48,48.5,-0.3704797047970487,0.1295202952029512,25.61139772045592,2024-02-01,RTT-February-2024,C_400,233760.0,125156.0,101105.0,7499.0,53.54,3.21,Neurology,0.0,0.0,0.0
2024-03,monthly,Part_2,C_100,421329,233438,166896,20995,0.5540515843912952,0.3961179980490306,0.0498304175596742,17,0.9999596514837572,105,False,15.586742109634551,15,15.5,-0.5867421096345513,-0.0867421096345513,29.50425442291491,29,29.5,-0.5042544229149115,-0.0042544229149115,46.321588126159554,46,46.5,-0.3215881261595541,0.1784118738404458,51.95963276836157,51,51.5,-0.9596327683615726,-0.4596327683615726,28.32158812615955,2024-03-01,RTT-March-2024,C_100,421329.0,233438.0,166896.0,20995.0,55.41,4.98,General Surgery,0.0,0.0,0.0
