period,kind,part,code,total,open_count,closed_share,p50_band_lower,p75_band_lower,p92_band_lower,p95_band_lower,band_count
2019-02,baseline,Part_2,C_999,4144110,1962,0.9995265569688064,6,13,22,26,53
2019-02,baseline,Part_2,C_100,317920,389,0.9987764217413184,6,14,24,29,53
2019-02,baseline,Part_2,C_110,493564,496,0.998995064469856,7,14,24,29,53
2019-02,baseline,Part_2,C_120,293344,149,0.9994920639249482,6,14,23,28,53
2019-02,baseline,Part_2,C_130,423742,141,0.9996672503551688,6,13,22,25,53
2019-02,baseline,Part_2,C_301,219774,30,0.9998634961369408,6,12,20,24,53
2019-02,baseline,Part_2,C_320,201406,87,0.999568036701985,6,12,19,23,53
2019-02,baseline,Part_2,C_400,126174,22,0.9998256376115524,7,14,22,25,53
2024-01,monthly,Part_2,C_999,7575914,376,0.9999503690247804,15,28,45,50,105
2024-01,monthly,Part_2,C_100,424169,10,0.9999764244911816,15,29,47,52,105
2024-01,monthly,Part_2,C_110,849406,63,0.9999258305215644,16,29,47,53,105
2024-01,monthly,Part_2,C_120,621169,11,0.9999822914536944,18,33,49,54,105
2024-01,monthly,Part_2,C_130,605516,8,0.9999867881278116,12,24,40,45,105
2024-01,monthly,Part_2,C_301,384402,2,0.9999947971134384,14,27,44,49,105
2024-01,monthly,Part_2,C_320,398450,3,0.9999924708244448,14,26,41,46,105
2024-01,monthly,Part_2,C_400,234198,0,1.0,16,29,44,48,105
2024-02,monthly,Part_2,C_999,7536907,252,0.9999665645337006,14,28,44,50,105
2024-02,monthly,Part_2,C_100,421906,19,0.999954966272108,15,29,47,52,105
2024-02,monthly,Part_2,C_110,842354,36,0.9999572626235526,16,29,47,52,105
2024-02,monthly,Part_2,C_120,627870,19,0.9999697389587016,18,33,49,54,105
2024-02,monthly,Part_2,C_130,607752,3,0.999995063776014,12,24,40,45,105
2024-02,monthly,Part_2,C_301,390450,3,0.999992316557818,13,26,43,48,105
2024-02,monthly,Part_2,C_320,399094,1,0.9999974943246454,14,25,41,45,105
2024-02,monthly,Part_2,C_400,233760,1,0.9999957221081452,16,29,43,48,105
2024-03,monthly,Part_2,C_999,7538830,232,0.999969225993954,14,28,44,49,105
2024-03,monthly,Part_2,C_100,421329,17,0.9999596514837572,15,29,46,51,105
2024-03,monthly,Part_2,C_110,835449,28,0.9999664850876594,16,29,46,52,105
2024-03,monthly,Part_2,C_120,639365,18,0.9999718470670118,18,33,49,54,105
2024-03,monthly,Part_2,C_130,611342,3,0.9999950927631344,11,24,40,45,105
2024-03,monthly,Part_2,C_301,390454,2,0.9999948777576873,14,26,43,48,105
2024-03,monthly,Part_2,C_320,405304,1,0.9999975327161834,14,26,41,46,105
2024-03,monthly,Part_2,C_400,231781,1,0.9999956855825112,16,29,43,48,105
2024-04,monthly,Part_2,C_999,7570371,275,0.9999636741713188,13,28,44,49,105
2024-04,monthly,Part_2,C_100,424237,10,0.9999764282700472,14,29,46,51,105
2024-04,monthly,Part_2,C_110,832905,33,0.9999603796351324,15,29,46,51,105
2024-04,monthly,Part_2,C_120,652244,17,0.99997393613433,17,32,50,55,105
2024-04,monthly,Part_2,C_130,613214,4,0.999993476991719,11,23,40,45,105
2024-04,monthly,Part_2,C_301,392168,2,0.999994900144836,13,26,42,47,105
2024-04,monthly,Part_2,C_320,410149,0,1.0,13,26,41,46,105
2024-04,monthly,Part_2,C_400,234119,2,0.9999914573357992,15,29,44,48,105
2024-05,monthly,Part_2,C_999,7601650,259,0.9999659284497444,14,28,44,49,105
2024-05,monthly,Part_2,C_100,423275,8,0.9999810997578408,14,29,46,51,105
2024-05,monthly,Part_2,C_110,837731,28,0.999966576383111,15,29,47,52,105
2024-05,monthly,Part_2,C_120,656628,6,0.9999908624061112,17,32,50,55,105
2024-05,monthly,Part_2,C_130,613435,9,0.999985328518914,11,23,40,45,105
2024-05,monthly,Part_2,C_301,390517,1,0.9999974392920156,13,26,42,47,105
2024-05,monthly,Part_2,C_320,412379,1,0.999997575046256,13,26,41,46,105
2024-05,monthly,Part_2,C_400,234234,1,0.9999957307649616,16,30,44,48,105
2024-06,monthly,Part_2,C_999,7621297,120,0.9999842546485198,14,27,44,49,105
2024-06,monthly,Part_2,C_100,423728,10,0.999976399954688,14,29,46,51,105
2024-06,monthly,Part_2,C_110,840043,18,0.999978572525454,15,29,47,52,105
2024-06,monthly,Part_2,C_120,658437,7,0.9999893687626912,17,32,50,55,105
