period,kind,part,code,measure,independent,primary,difference,status
2019-02,baseline,Part_2,C_100,p50,6.83375104427736,6.83375104428,-2.639666263348772e-12,VERIFIED
2019-02,baseline,Part_2,C_100,p75,14.151133501259446,14.1511335013,-4.055422664350772e-11,VERIFIED
2019-02,baseline,Part_2,C_100,p92,24.5884361660846,24.5884361661,-1.540101379760017e-11,VERIFIED
2019-02,baseline,Part_2,C_100,p95,29.29994107248085,29.2999410725,-1.91526794424135e-11,VERIFIED
2019-02,baseline,Part_2,C_110,p50,7.300798061254335,7.30079806125,4.335198866556311e-12,VERIFIED
2019-02,baseline,Part_2,C_110,p75,14.684494796469505,14.6844947965,-3.04947178619841e-11,VERIFIED
2019-02,baseline,Part_2,C_110,p92,24.79464587394412,24.7946458739,4.412115117702342e-11,VERIFIED
2019-02,baseline,Part_2,C_110,p95,29.18937339684866,29.1893733968,4.865796654485166e-11,VERIFIED
2019-02,baseline,Part_2,C_120,p50,6.999876367682512,6.99987636768,2.5126567493316543e-12,VERIFIED
2019-02,baseline,Part_2,C_120,p75,14.083293950850662,14.0832939509,-4.9338311214341957e-11,VERIFIED
2019-02,baseline,Part_2,C_120,p92,23.599536516853945,23.5995365169,-4.6053827418290894e-11,VERIFIED
2019-02,baseline,Part_2,C_120,p95,28.089236790606645,28.0892367906,6.643574579356937e-12,VERIFIED
2019-02,baseline,Part_2,C_130,p50,6.88075429839157,6.88075429839,1.5694112676101213e-12,VERIFIED
2019-02,baseline,Part_2,C_130,p75,13.827550876201244,13.8275508762,1.2434497875801753e-12,VERIFIED
2019-02,baseline,Part_2,C_130,p92,22.140881294964032,22.140881295,-3.596767328417627e-11,VERIFIED
2019-02,baseline,Part_2,C_130,p95,25.517372013651865,25.5173720137,-4.813571763406799e-11,VERIFIED
2019-02,baseline,Part_2,C_301,p50,6.544400630914827,6.54440063091,4.8263615326504805e-12,VERIFIED
2019-02,baseline,Part_2,C_301,p75,12.930935515388374,12.9309355154,-1.162625551387464e-11,VERIFIED
2019-02,baseline,Part_2,C_301,p92,20.858740157480323,20.8587401575,-1.9678481066875975e-11,VERIFIED
2019-02,baseline,Part_2,C_301,p95,24.581786216596335,24.5817862166,-3.666400516522117e-12,VERIFIED
2019-02,baseline,Part_2,C_320,p50,6.773747696431563,6.77374769643,1.5631940186722204e-12,VERIFIED
2019-02,baseline,Part_2,C_320,p75,12.82208549222798,12.8220854922,2.7981172934232745e-11,VERIFIED
2019-02,baseline,Part_2,C_320,p92,19.75513174404016,19.755131744,4.015987542516086e-11,VERIFIED
2019-02,baseline,Part_2,C_320,p95,23.1468796433878,23.1468796434,-1.220001877300092e-11,VERIFIED
2019-02,baseline,Part_2,C_400,p50,7.590651135005974,7.59065113501,-4.026112776500668e-12,VERIFIED
2019-02,baseline,Part_2,C_400,p75,14.094953051643191,14.0949530516,4.319211655001709e-11,VERIFIED
2019-02,baseline,Part_2,C_400,p92,22.130327613104527,22.1303276131,4.526157226791838e-12,VERIFIED
2019-02,baseline,Part_2,C_400,p95,25.60462232243516,25.6046223224,3.515765456540976e-11,VERIFIED
2019-02,baseline,Part_2,C_999,p50,6.691570182701094,6.6915701827,1.0942358130705543e-12,VERIFIED
2019-02,baseline,Part_2,C_999,p75,13.434422748870682,13.4344227489,-2.9316993277461734e-11,VERIFIED
2019-02,baseline,Part_2,C_999,p92,22.064439649285735,22.0644396493,-1.4264145420384011e-11,VERIFIED
2019-02,baseline,Part_2,C_999,p95,26.012445533769064,26.0124455338,-3.093703071499476e-11,VERIFIED
2024-01,monthly,Part_2,C_100,p50,15.79530760188088,15.7953076019,-1.9118928662464896e-11,VERIFIED
2024-01,monthly,Part_2,C_100,p75,29.832365925441465,29.8323659254,4.1463721345280646e-11,VERIFIED
2024-01,monthly,Part_2,C_100,p92,47.34336421952959,47.3433642195,2.958699951705057e-11,VERIFIED
2024-01,monthly,Part_2,C_100,p95,52.77476142641888,52.7747614264,1.8879120489145862e-11,VERIFIED
2024-01,monthly,Part_2,C_110,p50,16.14960026808368,16.1496002681,-1.63176139267307e-11,VERIFIED
2024-01,monthly,Part_2,C_110,p75,29.83946262978521,29.8394626298,-1.4789947044846485e-11,VERIFIED
2024-01,monthly,Part_2,C_110,p92,47.45109687146627,47.4510968715,-3.3729463666531956e-11,VERIFIED
2024-01,monthly,Part_2,C_110,p95,53.19496200394032,53.1949620039,4.0316194827028085e-11,VERIFIED
2024-01,monthly,Part_2,C_120,p50,18.832861078315624,18.8328610783,1.5624834759364603e-11,VERIFIED
2024-01,monthly,Part_2,C_120,p75,33.818010610079575,33.8180106101,-2.042810365310288e-11,VERIFIED
2024-01,monthly,Part_2,C_120,p92,49.50393177345287,49.5039317735,-4.7130299662967445e-11,VERIFIED
2024-01,monthly,Part_2,C_120,p95,54.12731311274508,54.1273131127,4.5076831156620756e-11,VERIFIED
2024-01,monthly,Part_2,C_130,p50,12.6132581257679,12.6132581258,-3.2100544444801926e-11,VERIFIED
