period,code,reported_total
2024-01,RHQ,91663.0
2024-01,RF4,61934.0
2024-01,RA9,33444.0
2024-02,RHQ,91633.0
2024-02,RF4,64164.0
2024-02,RA9,33690.0
2024-03,RHQ,91818.0
2024-03,RF4,65872.0
2024-03,RA9,33478.0
2024-04,RHQ,93935.0
2024-04,RF4,66352.0
2024-04,RA9,33560.0
2024-05,RHQ,95021.0
2024-05,RF4,66261.0
2024-05,RA9,34263.0
2024-06,RHQ,94014.0
2024-06,RF4,65809.0
2024-06,RA9,34172.0
2024-07,RHQ,93557.0
2024-07,RF4,65817.0
2024-07,RA9,34397.0
2024-08,RHQ,96660.0
2024-08,RF4,64990.0
2024-08,RA9,33982.0
2024-09,RHQ,96755.0
2024-09,RF4,62018.0
2024-09,RA9,34102.0
2024-10,RHQ,96769.0
2024-10,RF4,60490.0
2024-10,RA9,33889.0
2024-11,RHQ,96285.0
2024-11,RF4,57713.0
2024-11,RA9,32869.0
2024-12,RHQ,95672.0
2024-12,RF4,55802.0
2024-12,RA9,33759.0
2025-01,RHQ,94416.0
2025-01,RF4,54624.0
2025-01,RA9,34252.0
2025-02,RHQ,93524.0
2025-02,RF4,54584.0
2025-02,RA9,34367.0
2025-03,RHQ,92473.0
2025-03,RF4,55548.0
2025-03,RA9,34331.0
2025-04,RHQ,91886.0
2025-04,RF4,56658.0
2025-04,RA9,34622.0
2025-05,RHQ,92037.0
2025-05,RF4,56084.0
2025-05,RA9,33943.0
2025-06,RHQ,91256.0
2025-06,RF4,56931.0
2025-06,RA9,33261.0
2025-07,RHQ,0.0
2025-07,RF4,57908.0
2025-07,RA9,32959.0
2025-08,RHQ,0.0
2025-08,RF4,57909.0
2025-08,RA9,32117.0
2025-09,RHQ,0.0
2025-09,RF4,60522.0
2025-09,RA9,32106.0
2025-10,RHQ,0.0
2025-10,RF4,58662.0
2025-10,RA9,31775.0
2025-11,RHQ,0.0
2025-11,RF4,0.0
2025-11,RA9,31980.0
2025-12,RHQ,0.0
2025-12,RF4,68913.0
2025-12,RA9,32816.0
2026-01,RHQ,0.0
2026-01,RF4,69334.0
2026-01,RA9,33051.0
2026-02,RHQ,0.0
2026-02,RF4,69915.0
2026-02,RA9,33601.0
2026-03,RHQ,0.0
2026-03,RF4,68871.0
2026-03,RA9,33473.0
2026-04,RHQ,0.0
2026-04,RF4,72238.0
2026-04,RA9,0.0
2026-05,RHQ,0.0
2026-05,RF4,68701.0
2026-05,RA9,0.0
