period,kind,part,max_band_difference,national_total,detail_total
2019-02,baseline,Part_2,0,4144110,4144110
2024-01,monthly,Part_2,0,7575914,7575914
2024-02,monthly,Part_2,0,7536907,7536907
2024-03,monthly,Part_2,0,7538830,7538830
2024-04,monthly,Part_2,0,7570371,7570371
2024-05,monthly,Part_2,0,7601650,7601650
2024-06,monthly,Part_2,0,7621297,7621297
2024-07,monthly,Part_2,0,7623081,7623081
2024-08,monthly,Part_2,0,7641774,7641774
2024-09,monthly,Part_2,0,7571549,7571549
2024-10,monthly,Part_2,0,7541371,7541371
2024-11,monthly,Part_2,0,7479867,7479867
2024-12,monthly,Part_2,0,7463085,7463085
2025-01,monthly,Part_2,0,7427669,7427669
2025-02,monthly,Part_2,0,7401153,7401153
2025-03,monthly,Part_2,0,7418598,7418598
2025-04,monthly,Part_2,0,7389065,7389065
2025-05,monthly,Part_2,0,7355950,7355950
2025-06,monthly,Part_2,0,7367836,7367836
2025-07,monthly,Part_2,0,7299023,7299023
2025-08,monthly,Part_2,0,7312356,7312356
2025-09,monthly,Part_2,0,7296893,7296893
2025-10,monthly,Part_2,0,7304189,7304189
2025-11,monthly,Part_2,0,7159010,7159010
2025-12,monthly,Part_2,0,7199624,7199624
2026-01,monthly,Part_2,0,7155958,7155958
2026-02,monthly,Part_2,0,7124952,7124952
2026-03,monthly,Part_2,0,7014835,7014835
2026-04,monthly,Part_2,0,7093502,7093502
2026-05,monthly,Part_2,0,7153655,7153655
2025-02,full,Part_1A,0,310349,310349
2025-02,full,Part_1B,0,1147295,1147295
2026-04,full,Part_1A,0,287231,287231
2026-04,full,Part_1B,0,1159840,1159840
