period,sheet,row,percentile,official,computed,lower,difference
2024-01,National,15,0.5,15.7953076018809,15.795307601880879,15,-2.1316282072803006e-14
2024-01,National,15,0.92,47.3433642195296,47.34336421952959,47,-7.105427357601002e-15
2024-01,National,16,0.5,15.0138729977117,15.01387299771167,15,-2.842170943040401e-14
2024-01,National,16,0.92,46.5699034376207,46.56990343762072,46,1.4210854715202004e-14
2024-01,National,17,0.5,16.1496002680837,16.14960026808368,16,-1.7763568394002505e-14
2024-01,National,17,0.92,47.4510968714663,47.45109687146627,47,-2.842170943040401e-14
2024-01,National,18,0.5,18.8328610783156,18.832861078315624,18,2.4868995751603507e-14
2024-01,National,18,0.92,49.5039317734529,49.50393177345287,49,-2.842170943040401e-14
2024-01,National,19,0.5,12.6132581257679,12.6132581257679,12,0.0
2024-01,National,19,0.92,40.2708121711279,40.27081217112788,40,-2.1316282072803006e-14
2024-01,National,20,0.5,18.2338034068696,18.23380340686959,18,-1.0658141036401503e-14
2024-01,National,20,0.92,49.6700519031142,49.6700519031142,49,0.0
2024-01,National,21,0.5,16.2988904299584,16.29889042995839,16,-1.0658141036401503e-14
2024-01,National,21,0.92,49.3595604395605,49.359560439560454,49,-4.263256414560601e-14
2024-01,National,22,0.5,17.3519818331957,17.351981833195705,17,3.552713678800501e-15
2024-01,National,22,0.92,50.4447769784173,50.44477697841728,50,-2.1316282072803006e-14
2024-01,National,23,0.5,12.0674740484429,12.067474048442907,12,7.105427357601002e-15
2024-01,National,23,0.92,42.4389743589744,42.43897435897438,42,-2.1316282072803006e-14
2024-01,National,24,0.5,12.1654929577465,12.165492957746478,12,-2.1316282072803006e-14
2024-01,National,24,0.92,38.825568627451,38.825568627451,38,0.0
2024-01,National,25,0.5,14.1336463223787,14.133646322378716,14,1.5987211554602254e-14
2024-01,National,25,0.92,44.2008196062676,44.200819606267586,44,-1.4210854715202004e-14
2024-01,National,26,0.5,14.1139014296464,14.11390142964635,14,-4.973799150320701e-14
2024-01,National,26,0.92,41.1285255265976,41.12852552659764,41,4.263256414560601e-14
2024-01,National,27,0.5,14.9651040672141,14.965104067214053,14,-4.618527782440651e-14
2024-01,National,27,0.92,42.5967156614293,42.5967156614293,42,0.0
2024-01,National,28,0.5,13.4684411305705,13.468441130570488,13,-1.2434497875801753e-14
2024-01,National,28,0.92,42.2305905511811,42.2305905511811,42,0.0
2024-01,National,29,0.5,16.4827223294159,16.482722329415893,16,-7.105427357601002e-15
2024-01,National,29,0.92,44.031781420765,44.03178142076503,44,2.842170943040401e-14
2024-01,National,30,0.5,12.9337851929093,12.93378519290928,12,-1.9539925233402755e-14
2024-01,National,30,0.92,37.6370837438424,37.63708374384236,37,-4.263256414560601e-14
2024-01,National,31,0.5,9.20297504798464,9.202975047984644,9,3.552713678800501e-15
2024-01,National,31,0.92,29.2026046511628,29.202604651162797,29,-3.552713678800501e-15
2024-01,National,32,0.5,16.9104621999283,16.91046219992834,16,3.907985046680551e-14
2024-01,National,32,0.92,47.6619781242727,47.66197812427275,47,4.973799150320701e-14
2024-01,National,33,0.5,12.6363442009621,12.636344200962052,12,-4.796163466380676e-14
2024-01,National,33,0.92,39.438778550149,39.43877855014896,39,-4.263256414560601e-14
2024-01,National,34,0.5,10.455919395466,10.455919395465996,10,-3.552713678800501e-15
2024-01,National,34,0.92,49.6406557377049,49.64065573770492,49,2.1316282072803006e-14
2024-01,National,35,0.5,15.193557890602,15.193557890601983,15,-1.5987211554602254e-14
2024-01,National,35,0.92,46.1094254400532,46.10942544005315,46,-4.973799150320701e-14
2024-01,National,36,0.5,14.8082429684853,14.80824296848526,14,-4.085620730620576e-14
2024-01,National,36,0.92,45.5914365497983,45.59143654979833,45,2.842170943040401e-14
2024-01,National,37,0.5,10.6735976789168,10.673597678916828,10,2.842170943040401e-14
2024-01,National,37,0.92,39.1289432703003,39.12894327030035,39,4.973799150320701e-14
2024-01,National,38,0.5,15.0395728510979,15.039572851097871,15,-2.842170943040401e-14
2024-01,National,38,0.92,45.268384591488,45.26838459148804,45,3.552713678800501e-14
2024-01,Sub-ICB,18,0.5,7.5,7.5,7,0.0
2024-01,Sub-ICB,18,0.92,21.872,21.872,21,0.0
2024-01,Sub-ICB,22,0.5,19.5,19.5,19,0.0
2024-01,Sub-ICB,22,0.92,40.16,40.16,40,0.0
2024-01,Sub-ICB,38,0.5,8.5,8.5,8,0.0
2024-01,Sub-ICB,38,0.92,24.64,24.64,24,0.0
2024-01,Sub-ICB,132,0.5,21.0555555555556,21.055555555555557,21,-4.263256414560601e-14
2024-01,Sub-ICB,132,0.92,50.96,50.96000000000001,50,7.105427357601002e-15
2024-01,Sub-ICB,134,0.5,21.0,21.0,20,0.0
2024-01,Sub-ICB,134,0.92,50.92,50.92,50,0.0
2024-01,Sub-ICB,135,0.5,29.0,29.0,28,0.0
2024-01,Sub-ICB,135,0.92,65.64,65.64,65,0.0
2024-01,Sub-ICB,136,0.5,31.1666666666667,31.166666666666668,31,-3.197442310920451e-14
2024-01,Sub-ICB,136,0.92,55.8,55.800000000000004,55,7.105427357601002e-15
2024-01,Sub-ICB,137,0.5,27.75,27.75,27,0.0
2024-01,Sub-ICB,137,0.92,61.52,61.52,61,0.0
2024-01,Sub-ICB,138,0.5,27.6666666666667,27.666666666666668,27,-3.197442310920451e-14
2024-01,Sub-ICB,138,0.92,57.76,57.76000000000002,57,2.1316282072803006e-14
2024-01,Sub-ICB,139,0.5,24.5769230769231,24.576923076923077,24,-2.4868995751603507e-14
2024-01,Sub-ICB,139,0.92,51.4,51.400000000000006,51,7.105427357601002e-15
2024-01,Sub-ICB,142,0.5,38.0,38.0,37,0.0
2024-01,Sub-ICB,142,0.92,65.72,65.72,65,0.0
2024-01,Sub-ICB,145,0.5,24.75,24.75,24,0.0
2024-01,Sub-ICB,145,0.92,49.96,49.96,49,0.0
2024-01,Sub-ICB,146,0.5,19.7941176470588,19.794117647058822,19,2.1316282072803006e-14
2024-01,Sub-ICB,146,0.92,47.08,47.080000000000005,47,7.105427357601002e-15
2024-01,Sub-ICB,148,0.5,22.8333333333333,22.833333333333332,22,3.197442310920451e-14
2024-01,Sub-ICB,148,0.92,40.6,40.60000000000001,40,7.105427357601002e-15
2024-01,Sub-ICB,150,0.5,22.0,22.0,21,0.0
2024-01,Sub-ICB,150,0.92,49.66,49.66,49,0.0
2024-01,Sub-ICB,153,0.5,31.2692307692308,31.26923076923077,31,-2.842170943040401e-14
2024-01,Sub-ICB,153,0.92,51.3025,51.3025,51,0.0
2024-01,Sub-ICB,155,0.5,29.0438596491228,29.04385964912281,29,7.105427357601002e-15
2024-01,Sub-ICB,155,0.92,58.5871428571429,58.58714285714286,58,-4.263256414560601e-14
